0:00:01 - 0:00:13, [âm nhạc]
0:00:13 - 0:00:18, Chào mừng các bạn đến với môn học CS114
0:00:15 - 0:00:20, học máy. Và chúng ta sẽ cùng đến với một
0:00:18 - 0:00:23, trong những bài học rất là thú vị đó
0:00:20 - 0:00:25, chính là phân cụm hay clustering. Thì
0:00:23 - 0:00:28, phân cụm là một trong những cái thuật
0:00:25 - 0:00:31, toán mà nằm trong cái nhóm đó là học
0:00:28 - 0:00:31, không giám sát.
0:00:34 - 0:00:39, Và nếu mà xét về cái tính ứng dụng của
0:00:37 - 0:00:41, học không giám sát thì nó sẽ có cái tính
0:00:39 - 0:04:43, ứng dụng rất là cao. Lý do đó là vì hiện
0:00:41 - 0:00:47, nay chúng ta thấy là với cái sự phát
0:00:43 - 0:00:49, triển của mạng xã hội và internet thì
0:00:47 - 0:00:52, cái dữ liệu trên internet có rất là
0:00:49 - 0:00:55, nhiều. Tuy nhiên đại đa số trong đó là
0:00:52 - 0:00:57, dữ liệu không có gán nhãn. Và chính vì
0:00:55 - 0:00:59, cái dữ liệu không có gán nhãn thì nó sẽ
0:00:57 - 0:01:02, thúc đẩy cho cái việc ứng dụng các cái
0:00:59 - 0:01:05, thuật toán học không giám sát mà cụ thể
0:01:02 - 0:01:08, đó là thuật toán phân cụm. Nó có rất
0:01:05 - 0:01:09, nhiều đất để dụng vỏ.
0:01:08 - 0:01:12, Trước khi đi vào chi tiết thì chúng ta
0:01:09 - 0:01:14, sẽ cùng à ôn lại, nhắc lại một số cái
0:01:12 - 0:01:17, khái niệm. Đầu tiên đó là khái niệm học
0:01:14 - 0:01:19, có giám sát. học có giám sát hay còn gọi
0:01:17 - 0:01:22, là supervised learning là chúng ta sẽ tìm
0:01:19 - 0:01:24, cách để ước lượng cái hàm phân loại hoặc
0:01:22 - 0:01:28, là cái hàm hồi quy. Đối với cái hàm phân
0:01:24 - 0:01:30, loại thì chúng ta sẽ à có cái đầu ra đó
0:01:28 - 0:01:34, là một cái giá trị thuộc về một cái phân
0:01:30 - 0:01:35, lớp nào đó. Còn hồi quy thì đầu ra của
0:01:34 - 0:01:39, cái hàm của mình nó sẽ là một cái giá
0:01:35 - 0:01:41, trị dự đoán liên tục. Và cái việc ước
0:01:39 - 0:01:44, lượng các hàm phân loại hoặc hồi quy này
0:01:41 - 0:01:47, thì nó sẽ được dựa trên các cái cặp dữ
0:01:44 - 0:01:49, liệu. các cái cặp dữ liệu có cái nhãn
0:01:47 - 0:01:52, thì nhãn ở đây trong trường hợp này đó
0:01:49 - 0:01:57, chính là giá trị Y. Thì Y ở đây nó được
0:01:52 - 0:01:57, gọi là nhãn hay còn gọi là label.
0:01:57 - 0:02:03, Và ở trên hình ví dụ ở đây chúng ta thấy
0:02:00 - 0:02:05, là các cái tập à các cái điểm của mình
0:02:03 - 0:02:08, sẽ được gán bởi hai cái nhãn đó là hình
0:02:05 - 0:02:11, tròn và chữ X thì tương ứng là hai cái
0:02:08 - 0:02:14, phân lớp. Và tập dữ liệu huấn luyện của
0:02:11 - 0:02:16, mình thì bao gồm là x1, y1. Trong đó cái
0:02:14 - 0:02:18, chỉ số ở phía trên là cho biết cái thứ
0:02:16 - 0:02:22, tự của cái mẫu dữ liệu của mình. Đây là
0:02:18 - 0:02:24, mẫu dữ liệu thứ à đây là mẫu
0:02:22 - 0:02:26, thứ
0:02:24 - 0:02:29, thứ nhất.
0:02:26 - 0:02:32, Đó cái chỉ số ở trên là để thể hiện cái mẫu
0:02:29 - 0:02:35, thứ mấy và tập dữ liệu này thì gồm có m
0:02:32 - 0:02:38, mẫu. Thế thì với cái ví dụ này thì chúng
0:02:35 - 0:02:40, ta có thể dễ dàng thấy là cái hàm à phân
0:02:38 - 0:02:42, loại nếu mà sử dụng mô hình hồi quy tuyến
0:02:40 - 0:02:44, tính nó sẽ tìm ra được một cái đường để
0:02:42 - 0:02:47, phân tách hai cái tập điểm này ra làm
0:02:44 - 0:02:49, hai một cách rất là dễ dàng là vì chúng
0:02:47 - 0:02:52, ta đã có nhãn rồi. Bây giờ nhiệm vụ của
0:02:49 - 0:02:55, chúng ta chỉ là đi tìm cái đường phân
0:02:52 - 0:02:57, phân biệt giữa hai cái tập điểm này.
0:02:55 - 0:03:01, Đối với học không giám sát thì chúng ta
0:02:57 - 0:03:03, sẽ học từ cái dữ liệu mà không có
0:03:01 - 0:03:05, không có gán nhãn. Hay nói cách khác là
0:03:03 - 0:03:08, ở trong học có giám sát thì chúng ta sẽ
0:03:05 - 0:03:10, cần một cái cặp là X và Y. Thì ở đây
0:03:08 - 0:03:14, chúng ta không có cái dữ liệu Y mà chúng
0:03:10 - 0:03:17, ta chỉ có dữ liệu X thôi. Và chúng ta sẽ
0:03:14 - 0:03:20, phải à học như thế nào để xác định được
0:03:17 - 0:03:23, cái cấu trúc và cái phân bố của dữ liệu.
0:03:20 - 0:03:25, Thì trên hình chúng ta thấy cái dữ liệu
0:03:23 - 0:03:26, của mình cũng là tương tự như học có
0:03:25 - 0:03:29, giám sát nhưng ở đây chúng ta không hề
0:03:26 - 0:03:32, có nhãn và tất cả đều được gán bằng cái
0:03:29 - 0:03:35, màu màu đen. Thế thì nhiệm vụ của chúng
0:03:32 - 0:03:37, ta đó là phải tìm cách xác định được cái
0:03:35 - 0:03:40, phân bố của cái dữ liệu này nó có tính
0:03:37 - 0:03:42, chất như thế nào. Đó X ở đây chúng ta sẽ
0:03:40 - 0:03:46, không có cái Y. Ở đây không có Y mà chỉ
0:03:42 - 0:03:46, có X thôi.
0:03:48 - 0:03:54, Rồi thì cái việc xác định phân bố nó sẽ
0:03:51 - 0:03:57, dẫn đến chúng ta đến các cái bài toán đó
