0:00:01 - 0:00:13, [âm nhạc]
0:00:14 - 0:00:18, Sau đây thì chúng ta sẽ đến với một
0:00:16 - 0:00:21, trong những cái thuật toán nổi tiếng đó
0:00:18 - 0:00:24, là à để mà phân cụm đó chính là thuật
0:00:21 - 0:00:26, toán Camin. Và Camin là một trong những
0:00:24 - 0:00:29, cái thuật toán mà được bình chọn là top
0:00:26 - 0:00:33, 10 thuật toán trong lĩnh vực về à khai
0:00:29 - 0:00:35, thác dữ liệu, data mining và được sử
0:00:33 - 0:00:39, dụng rất là phổ biến. Thì camin là một
0:00:35 - 0:00:42, thực toán phân cụm theo kiểu là
0:00:39 - 0:00:44, phân hoạch.
0:00:42 - 0:00:47, Và chúng ta ký hiệu gọi cái tập dữ liệu
0:00:44 - 0:00:51, điểm của mình là D. Và D này là bao gồm
0:00:47 - 0:00:55, M m mẫu dữ liệu X1, X2 cho đến XM.
0:00:51 - 0:00:58, Thì trong đó xy là một cái vecơ trong
0:00:55 - 0:01:00, không gian cái giá trị thực và xy này
0:00:58 - 0:01:04, thì thuộc R.
0:01:00 - 0:01:06, Trong đó R là à R này chính là
0:01:04 - 0:01:09, số thuộc tính hoặc là số chiều của cái
0:01:06 - 0:01:13, dữ liệu của mình. Tức là XY này nè là
0:01:09 - 0:01:16, một cái vecơ có R chiều. Thì thuật toán
0:01:13 - 0:01:19, K min sẽ phân chia dữ liệu của mình đã
0:01:16 - 0:01:22, cho thành K cụm. Và lưu ý K này là cho
0:01:19 - 0:01:22, trước.
0:01:23 - 0:01:31, K này là được cho trước
0:01:26 - 0:01:34, bởi người dùng và mỗi một cụm sẽ có một
0:01:31 - 0:01:37, cái tâm cụm hay còn gọi là centroid. Mỗi
0:01:34 - 0:01:39, một cụm sẽ có một cái tâm cụm.
0:01:37 - 0:01:43, Thì cái ý tưởng của cái thuật toán Kamin
0:01:39 - 0:01:44, này đó là với K thì thực toán Kamin sẽ
0:01:43 - 0:01:48, hoạt động đó là bước một á là chúng ta
0:01:44 - 0:01:51, sẽ cọn chọn ngẫu nhiên K điểm dữ liệu
0:01:48 - 0:01:51, hay còn gọi là SH là hạt nhân.
0:01:54 - 0:02:00, Đó, đây còn gọi là hạt nhân
0:01:57 - 0:02:00, của cụm.
0:02:04 - 0:02:12, Rồi và nhiệm vụ của chúng ta đó là à lấy
0:02:09 - 0:02:15, kểm dữ liệu này nó sẽ làm các cái
0:02:12 - 0:02:19, centroid tức là các cái tâm cụm ban đầu
0:02:15 - 0:02:19, hay còn gọi là bước khởi tạo.
0:02:24 - 0:02:30, Rồi và sang bước số hai đó là sau khi
0:02:27 - 0:02:32, chúng ta đã khởi tạo được K cụm này xong
0:02:30 - 0:02:34, thì chúng ta sẽ đi tiến hành gán nhãn.
0:02:32 - 0:02:37, Mỗi một cái điểm dữ liệu trong cái tập
0:02:34 - 0:02:40, dữ liệu D của mình á sẽ được gán vào một
0:02:37 - 0:02:42, cái centroid gần nhất. Và khi nó được
0:02:40 - 0:02:45, gán vào cái centroid gần nhất thì nó sẽ
0:02:42 - 0:02:47, lấy cái nhãn của cái centroid đó luôn.
0:02:45 - 0:02:50, Tức là cái chỉ số của cái cụm.
0:02:47 - 0:02:53, Sau đó thì chúng ta sau khi chúng ta đã
0:02:50 - 0:02:55, gán các cái điểm dữ liệu vào các cái
0:02:53 - 0:02:57, centroid gần nhất thì chúng ta sẽ đi
0:02:55 - 0:03:01, tiến hành cập nhật lại cái centroid. Tại
0:02:57 - 0:03:03, vì ban đầu sen ờ cái centroid của mình
0:03:01 - 0:03:05, là được lấy từ các cái điểm dữ liệu à
0:03:03 - 0:03:08, làm tâm cụm. Nhưng mà sau khi chúng ta
0:03:05 - 0:03:10, đã phân bổ các cái điểm dữ liệu mới vào
0:03:08 - 0:03:13, bên trong cái cụm của mình thì cái tâm
0:03:10 - 0:03:15, cụm chắc chắn nó sẽ dịch chuyển. Và
0:03:13 - 0:03:17, chúng ta sẽ tính lại cái các cái
0:03:15 - 0:03:19, centroid dựa trên các cái thành viên cụm
0:03:17 - 0:03:20, hiện tại mà mình đã gán ở cái bước số
0:03:19 - 0:03:24, hai.
0:03:20 - 0:03:26, Đã gán được ở bước số hai. Và nếu như
0:03:24 - 0:03:28, cái việc mà
0:03:26 - 0:03:30, tính toán cái centroid này nó chưa hội
0:03:28 - 0:03:32, tụ thì ở đây cái khái niệm chưa hội tụ
0:03:30 - 0:03:34, là gì thì sang cái slide sau chúng ta sẽ
0:03:32 - 0:03:36, sẽ đề cập. Nhưng mà nếu cái việc này
0:03:34 - 0:03:39, chưa hồi tụ thì chúng ta sẽ quay trở lại
0:03:36 - 0:03:42, bước số 2i và cứ lặp đi lặp lại 2 3 4
0:03:39 - 0:03:44, rồi lại quay lại 2 nếu như cái việc mà
0:03:42 - 0:03:47, xác định các cái tâm cụm này là chưa hội
0:03:44 - 0:03:50, tụ
0:03:47 - 0:03:52, và biểu diễn hình thức hơn cho cái thuật
0:03:50 - 0:03:57, toán cam min
0:03:52 - 0:04:00, à đầu vào chúng ta sẽ có k loại thì đây
0:03:57 - 0:04:07, là do người dùng cung cấp dàn bộ cái dữ
0:04:00 - 0:04:12, liệu của mình là bao gồm là X à 1, X2
0:04:07 - 0:04:14, vân vân cho đến XM.
0:04:12 - 0:04:17, Rồi và chọn K điểm dữ liệu này làm
0:04:14 - 0:04:20, centroid ban đầu. Thì đây chính là cái
0:04:17 - 0:04:22, bước khởi tạo của mình. Sau đó nè, for
0:04:20 - 0:04:25, chúng ta sẽ viết một cái vòng for for
0:04:22 - 0:04:27, với mỗi một cái điểm dữ liệu XY thuộc D
0:04:25 - 0:04:30, thì chúng ta sẽ tính khoảng cách từ XY
0:04:27 - 0:04:33, này nè đến cái centroid. Thì ở đây chúng
0:04:30 - 0:04:36, ta có K điểm tương ứng là Kroid
0:04:33 - 0:04:39, đến từng cái centroid và gán cái XY này
0:04:36 - 0:04:41, vào cái cụm có cái centroid gần nhất. Và
0:04:39 - 0:04:44, chúng ta sẽ thực hiện đi thực hiện lại
0:04:41 - 0:04:46, cái việc này cho duyệt qua hết tất cả
0:04:44 - 0:04:48, các cái điểm. Chúng ta sẽ duyệt qua hết
0:04:46 - 0:04:52, tất cả cái điểm trong cái bộ data của
0:04:48 - 0:04:54, mình và cập nhật lại cái centroid dựa
0:04:52 - 0:04:56, trên cái cụm hiện tại. Tức là khi chúng
0:04:54 - 0:04:59, ta gán cái xi này vào cái centro gần
0:04:56 - 0:05:01, nhất thì chúng ta sẽ đi tính lại cái tâm
0:04:59 - 0:05:04, cộng mới bằng cách đó là chúng ta sẽ
0:05:01 - 0:05:07, cộng trung bình các cái giá trị xy này
0:05:04 - 0:05:09, lại của từng cụm. Và việc này sẽ lặp đi
0:05:07 - 0:05:11, lặp lại cho đến khi nào cái điều kiện
0:05:09 - 0:05:14, dừng được thỏa mãn. Thì cái tiêu chí
0:05:11 - 0:05:15, dừng hay là tiêu chí tiêu chí hội tụ
0:05:14 - 0:05:19, chúng ta có thể dựa trên một trong các
0:05:15 - 0:05:22, cái tiêu chí sau. Thứ nhất đó là không
0:05:19 - 0:05:24, hoặc là rất ít cái việc gán nhãn lại
0:05:22 - 0:05:26, điểm dữ liệu. Tức là khi chúng ta gán
0:05:24 - 0:05:29, một cái điểm dữ liệu cho một cái nhãn,
