0:00:01 - 0:00:13, [âm nhạc]
0:00:13 - 0:00:17, Chúng ta sẽ đến với cái mô hình khuyến
0:00:15 - 0:00:20, nghị đầu tiên đó là content-based
0:00:17 - 0:00:22, Recommendation system. Thì cái ý tưởng
00:00:20 - 0:00:25, của cái
00:00:22 - 0:00:27, gợi ý dựa trên nội dung đó là chúng ta
00:00:25 - 0:00:30, sẽ gợi ý cái sản phẩm có cái nội dung
00:00:27 - 0:00:33, tương tự với cái sản phẩm mà người dùng
00:00:30 - 0:00:37, đã thích. Ví dụ à gợi ý quần áo có cùng
00:00:33 - 0:00:40, phong cách hoặc là màu sắc.
00:00:37 - 0:00:43, Thì đối với user khi chúng ta thực hiện
00:00:40 - 0:00:48, cái hành vi mua một cái sản phẩm nào đó
00:00:43 - 0:00:48, chúng ta sẽ dựa trên cái thuộc tính
00:00:49 - 0:00:55, đã được mô tả thì cái thuộc tính này nó
00:00:51 - 0:00:56, sẽ được cung cấp bởi cái nhà à cung cấp
00:00:55 - 0:00:58, cái sản phẩm này hoặc là cái trang
00:00:56 - 0:01:00, thương mại điện tử họ sẽ nhập cái dữ
00:00:58 - 0:01:04, liệu về cái thuộc tính. Ví dụ như đây là
00:01:00 - 0:01:08, một cái sản phẩm mà có cái à phong cách
00:01:04 - 0:01:11, thời trang mới với cái bộ màu sắc là màu
00:01:08 - 0:01:15, xanh. Rồi phong cách này là theo cái
00:01:11 - 0:01:17, phong cách là cổ trang ví dụ vậy. Thì
00:01:15 - 0:01:19, các cái thuộc tính này sẽ được ghi nhận
00:01:17 - 0:01:21, à như là một cái nội dung. Và chúng ta
00:01:19 - 0:01:24, sẽ dựa trên các cái thông tin thuộc tính
00:01:21 - 0:01:26, này để đi tìm cái similar style, tức là
00:01:24 - 0:01:28, những cái sản phẩm có cái phong cách
00:01:26 - 0:01:31, tương tự với những cái thuộc tính của
00:01:28 - 0:01:36, sản phẩm đã mua. Và từ đó chúng ta sẽ
00:01:31 - 0:01:38, gợi ý cho à gợi ý cho người dùng cái sản
00:01:36 - 0:01:40, phẩm có tính chất tương tự này. Thì cái
00:01:38 - 0:01:44, quy trình thực hiện một cách tổng quát
00:01:40 - 0:01:51, đó là à với cái một cái user X khi chúng
00:01:44 - 0:01:52, ta thu thập những cái ờ đánh giá hoặc là
00:01:51 - 0:01:56, cái đánh giá này nó có thể là cái số
00:01:52 - 0:01:59, like của người dùng à trên mạng xã hội
00:01:56 - 0:02:02, hoặc là cái đơn hàng mà người này đã mua
00:01:59 - 0:02:05, đó thì chúng ta sẽ ra được cái item
00:02:02 - 0:02:07, profile. Thì cái like này nó có thể là à
00:02:05 - 0:02:11, rating. Nó có thể thay bằng rating, tức
00:02:07 - 0:02:16, là cái đánh giá hoặc là view,
00:02:11 - 0:02:19, cái số lượt xem hoặc là cái à lượt mua,
00:02:16 - 0:02:22, mua hàng chính thức là xuống tiền. Đó
00:02:19 - 0:02:24, thì chúng ta sẽ ra được cái item profile
00:02:22 - 0:02:29, là chứa những cái
00:02:24 - 0:02:32, sản phẩm mà cái người user này họ có cái
00:02:29 - 0:02:37, mối quan tâm cao.
00:02:32 - 0:02:37, User X có quan tâm.
00:02:39 - 0:02:46, Rồi sau đó thì chúng ta sẽ tiến hành xây
00:02:42 - 0:02:49, dựng à một cái user profile dựa trên các
00:02:46 - 0:02:51, cái thuộc tính của cái item profile. Ví
00:02:49 - 0:02:55, dụ như là người này có sở thích là màu
00:02:51 - 0:02:58, xanh, màu hồng vân vân. đó thì à các cái
00:02:55 - 0:03:02, phong cách thời trang thì từ đó màu sắc
00:02:58 - 0:03:05, và phong cách thời trang nó sẽ đi so
00:03:02 - 0:03:08, khớp với lại các cái sản phẩm mà khác ở
00:03:05 - 0:03:10, trong cái kho hàng của mình để từ đó đi
00:03:08 - 0:03:12, recommend đi khuyến nghị cho cái người
00:03:10 - 0:03:15, dùng X này. Thì đây là cái quy trình
00:03:12 - 0:03:17, tổng quát. Và cái việc xây dựng cái item
00:03:15 - 0:03:20, profile thì với mỗi một cái sản phẩm hay
00:03:17 - 0:03:24, item thì ta sẽ có các cái hồ sơ đặc
00:03:20 - 0:03:27, trưng. Và hồ sơ này là một tập vector à
00:03:24 - 0:03:29, một tập hợp hay còn gọi là một vector các
00:03:27 - 0:03:32, cái đặc điểm nổi bật.
00:03:29 - 0:03:37, À thì ví dụ đối với phim chúng ta sẽ có
00:03:32 - 0:03:41, các cái đặc trưng ví dụ như là tác giả
00:03:37 - 0:03:45, của cái bộ phim này đó tiêu đề của cái
00:03:41 - 0:03:47, bộ phim này, diễn viên đạo diễn. Tức là
00:03:45 - 0:03:50, đôi khi chúng ta có những cái danh sách
00:03:47 - 0:03:54, các cái item profile này nó thể hiện
00:03:50 - 0:03:57, rằng là cái cái user X này họ rất thích
00:03:54 - 0:03:59, cái diễn viên ví dụ như thật Tom Cruise
00:03:57 - 0:04:01, chẳng hạn. Tại vì tất cả những cái bộ
00:04:01 - 0:04:04, phim mà người này coi đều có Tom Cruise
00:04:01 - 0:04:07, xuất hiện trong đó. Hoặc là à
00:04:04 - 0:04:09, một cái bộ phim có cái tiêu đề chủ đề về
00:04:07 - 0:04:11, hành động chẳng hạn. Đó thì người này
00:04:09 - 0:04:12, thích xem cái chủ đề về hành động hoặc
00:04:11 - 0:04:14, là người này thích xem cái chủ đề về
00:04:12 - 0:04:19, tình cảm thì đây sẽ là những cái đặc
00:04:14 - 0:04:22, trưng ờ hồ sơ đặc trưng đại diện cho cái
00:04:19 - 0:04:24, user của mình. Rồi đối với văn bản thì
00:04:22 - 0:04:26, nó sẽ có thể là tập hợp các cái từ quan
00:04:24 - 0:04:28, trọng trong cái tài liệu của mình. Ví dụ
