0:00:01 - 0:00:13, [âm nhạc]
0:00:13 - 0:00:18, Chúng ta sẽ cùng đến với cái nhóm thuậc
0:00:15 - 0:00:22, toán phân cụm à tiếp theo đó là
0:00:18 - 0:00:25, hierarchical clustering hay là phân cụm
0:00:22 - 0:00:29, à phân tần. Thì à nếu như ở trong cái
0:00:25 - 0:00:32, phần thuật toán phân cụm theo kiểu
0:00:29 - 0:00:35, quy hoạch thì một cái điểm dữ liệu của
0:00:32 - 0:00:39, mình nó chỉ thuộc duy nhất bởi một cái
0:00:35 - 0:00:42, cụm. Thì đối với thực toán à à đối với
0:00:39 - 0:00:45, cái nhóm mà hierarchical clustering tức
0:00:42 - 0:00:47, là phân cụm phân tần thì một cái điểm dữ
0:00:45 - 0:00:51, liệu của mình nó có thể vừa thuộc cái
0:00:47 - 0:00:53, cụm số 6 mà vừa thuộc cái cụm số 8 và
0:00:51 - 0:00:55, thuộc cái cụm số 9.
0:00:53 - 0:00:58, Ví dụ bên đây cái điểm dữ liệu thứ tư
0:00:55 - 0:01:00, thì vừa thuộc cái cụm số 6 mà vừa thuộc
0:00:58 - 0:01:04, cái cụm số 9. Tức là nó thuộc hai cái
0:01:00 - 0:01:06, cụm và nó sẽ có tình trạng đó là cụm sau
0:01:04 - 0:01:09, thì nó sẽ chứa luôn những cái cụm nhỏ
0:01:06 - 0:01:12, hơn. Đó thì đây là
0:01:09 - 0:01:16, một chuỗi các cái cụm nó nó lồng nhau. 9
0:01:12 - 0:01:18, thì chứa 8 và 6. 8 thì chứa 6 và 3, 6
0:01:16 - 0:01:21, thì chứa 1 và 2.
0:01:18 - 0:01:24, Rồi thì ở đây chúng ta sẽ có hai cái à
0:01:21 - 0:01:27, loại thuật toán phân cụm phân tần. Đầu
0:01:24 - 0:01:28, tiên đó là cái phương pháp à hai cái
0:01:27 - 0:01:31, phương pháp ha. Phương pháp đầu tiên đó
0:01:28 - 0:01:33, là bottom up hoặc hay còn gọi là
0:01:31 - 0:01:37, aglomerity
0:01:33 - 0:01:38, là xây dựng cái sơ đồ phân loại à xây
0:01:37 - 0:01:40, dựng cái sơ đồ phân loại hay còn gọi là
0:01:38 - 0:01:43, dendroam.
0:01:40 - 0:01:45, À từ cái cấp dưới cùng chúng ta sẽ đi từ
0:01:43 - 0:01:49, cái cấp dưới cùng tức là từ cái điểm dữ
0:01:45 - 0:01:49, liệu của mình
0:01:53 - 0:01:57, đó. Chúng ta sẽ đi từ cái cụm này. Từ
0:01:56 - 0:02:01, cái điểm dữ liệu này sẽ là một cái cụm
0:01:57 - 0:02:04, đầu tiên. Sau đó nó sẽ hợp nhất với cái
0:02:01 - 0:02:08, cặp cụm mà giống nhau nhất hoặc là gần
0:02:04 - 0:02:10, nhau nhất. Giống nhất hoặc là gần nhất.
0:02:08 - 0:02:12, Thì ví dụ chúng ta thấy là ở đây chúng
0:02:10 - 0:02:15, ta rã ra thành một cụm. Mỗi điểm này là
0:02:12 - 0:02:18, một cụm. Rồi sau đó là hai cái điểm này,
0:02:15 - 0:02:20, hai cái cụm này là gần nhau nhất thì
0:02:18 - 0:02:23, chúng ta sẽ bắt đầu gom nó lên thành một
0:02:20 - 0:02:27, cụm. Đó. Rồi sau đó chúng ta lại tiếp
0:02:23 - 0:02:27, tục à gom.
0:02:31 - 0:02:35, Rồi sau đó chúng ta lại thấy là hai cái
0:02:33 - 0:02:39, điểm này thì cái cụm này và cái điểm này
0:02:35 - 0:02:40, rồi cái cụm này và điểm à cái cụm này và
0:02:39 - 0:02:43, điểm này là gần nhau nhất. Chúng ta sẽ
0:02:40 - 0:02:47, lại gom
0:02:43 - 0:02:47, rồi lại tiếp tục gom.
0:02:49 - 0:02:55, Cứ như vậy chúng ta sẽ gom.
0:02:52 - 0:02:59, Thì đây là cái kiểu phân cụm gom tầng.
0:02:55 - 0:03:00, Và phương pháp thứ hai à
0:02:59 - 0:03:03, phương pháp đầu đó là phương pháp về
0:03:00 - 0:03:06, bottom up tức là đi từ dưới lên. Còn cái
0:03:03 - 0:03:10, phương pháp thứ hai á đó là phương pháp
0:03:06 - 0:03:12, top down là divisible thì nó sẽ ngược
0:03:10 - 0:03:15, lại. Đó là từ các cái điểm này chúng ta
0:03:12 - 0:03:18, đã xem nó gom
0:03:15 - 0:03:21, chúng ta đã xem nó như là một cụp lớn
0:03:18 - 0:03:25, rồi. Rồi sau đó chúng ta lại chẻ nhỏ
0:03:21 - 0:03:25, xuống đó.
0:03:27 - 0:03:32, [âm nhạc]
0:03:28 - 0:03:34, À ban đầu là à không có cái này ha. Rồi
0:03:32 - 0:03:38, chúng ta lại gom. Rồi sau đó ở đây chúng
0:03:34 - 0:03:41, ta tiếp tục lại gom.
0:03:38 - 0:03:43, Đó thì là đi từ trên xuống.
0:03:41 - 0:03:46, Thì giữa hai cái phương pháp là top down
0:03:43 - 0:03:48, và bottom up thì top down nó sẽ không
0:03:46 - 0:03:52, phổ biến bằng bottom up. Hay nói cách
0:03:48 - 0:03:55, khác đó là cái phương pháp
0:03:52 - 0:03:58, alomerative clustering thì nó sẽ là phổ
0:03:55 - 0:04:01, biến hơn cái phương pháp phân chia dạng
