0:00:01 - 0:00:13, [âm nhạc]
0:00:13 - 0:00:19, Chúng ta sẽ cùng đến với cái ví dụ trực
0:00:15 - 0:00:22, quan để minh họa cho thuật toán gom cụm.
0:00:19 - 0:00:24, Thì ở bước đầu tiên đó là chúng ta sẽ có
0:00:22 - 0:00:27, một tập hợp các cái điểm và chúng ta sẽ
0:00:24 - 0:00:30, cọn chọn ngẫu nhiên kâ cụm. Thì lưu ý đó
0:00:27 - 0:00:33, là à ở trong cái ví dụ này thì nó đã bỏ
0:00:30 - 0:00:35, sót cái hình ngôi sao đầu tiên ha. Tức
0:00:33 - 0:00:38, là cái cụm đầu tiên sẽ là bốc ngẫu nhiên
0:00:35 - 0:00:39, là hai cái điểm này, hai cái ngôi sao.
0:00:38 - 0:00:42, Và hai điểm này cũng chính là cái mẫu dữ
0:00:39 - 0:00:44, liệu của mình. Rồi sau đó thì chúng ta
0:00:42 - 0:00:47, sẽ sang cái bước B đó là gán các cái
0:00:44 - 0:00:49, điểm vào à các cái cụm. Thì chúng ta
0:00:47 - 0:00:51, thấy là cái điểm này gần cái ngôi sao
0:00:49 - 0:00:53, này, điểm này gần ngôi sao này nhất,
0:00:51 - 0:00:55, điểm này gần ngôi sao này nhất, điểm này
0:00:53 - 0:00:59, gần ngôi sao này nhất. Nên cả năm cái
0:00:55 - 0:01:01, điểm này sẽ được gom vào một cụm số 1.
0:00:59 - 0:01:04, Rồi các cái điểm này mặc dù chúng ta
0:01:01 - 0:01:07, thấy là rất là xa nhưng mà nếu xét về
0:01:04 - 0:01:10, khoảng cách từ điểm này đến cái ngôi sao
0:01:07 - 0:01:11, này và từ điểm này đến ngôi sao này hay
0:01:10 - 0:01:14, là cái tông cụm thứ hai thì chúng ta
0:01:11 - 0:01:16, thấy là đến đây nó sẽ cần hơn. Do đó,
0:01:14 - 0:01:19, điểm này sẽ được gán vào cái cụm của
0:01:16 - 0:01:21, ngôi sao thứ hai. Điểm này sẽ gần ngôi
0:01:19 - 0:01:24, sao thứ hai hơn so với ngôi sao thứ
0:01:21 - 0:01:26, nhất. Các cái điểm ở khu vực này thì gần
0:01:24 - 0:01:28, với lại cái ngôi sao này hơn. Do đó, tất
0:01:26 - 0:01:33, cả các cụm này sẽ được gán nhãn bởi số
0:01:28 - 0:01:36, 2. Còn đây là số 1. Và khi chúng ta gán
0:01:33 - 0:01:40, nhãn xong thì chúng ta sẽ tiến hành cập
0:01:36 - 0:01:41, nhật lại cái tâm cụm. Thì với cái cụm số
0:01:40 - 0:01:43, 1, chúng ta thấy là các cái điểm của
0:01:41 - 0:01:46, mình nó xu hướng lệch về bên phải hơn
0:01:43 - 0:01:50, một chút so với cái ngôi sao này. Do đó
0:01:46 - 0:01:52, thì ở đây chúng ta sẽ dời lên đây. Và
0:01:50 - 0:01:55, cụm số hai là rõ ràng nhất. Chúng ta
0:01:52 - 0:01:56, thấy rất nhiều điểm nó nằm lệch về phía
0:01:55 - 0:01:59, tay phải, chỉ có hai điểm nằm bên tay
0:01:56 - 0:02:05, trái. Do đó cái tâm cộng mới thì nó sẽ
0:01:59 - 0:02:05, tiến về đây. Đó, nó sẽ tiến vào đây.
0:02:07 - 0:02:12, Đó. Thì ở đây là một cái hình minh họa
0:02:09 - 0:02:14, là tâm cụm cũ và tâm cụm mới. Đây là tâm
