0:00:01 - 0:00:13, [âm nhạc]
0:00:13 - 0:00:18, Chào mừng các bạn đến với môn học CS114
0:00:16 - 0:00:21, học máy. Và bài hôm nay thì chúng ta sẽ
0:00:18 - 0:00:22, đến với một nội dung rất là thú vị đó
0:00:21 - 0:00:26, chính là hệ thống khuyến nghị hay là
0:00:22 - 0:00:29, recommendation system. Thì nếu mà nói
0:00:26 - 0:00:32, một trong những cái ứng dụng học máy
0:00:29 - 0:00:36, được sử dụng lâu đời và có cái tầm ảnh
0:00:32 - 0:00:38, hưởng à rộng nhất thì đó chính là hệ
0:00:36 - 0:00:40, thống khí nghị. Tại vì ngay từ khi
0:00:38 - 0:00:43, thương mại điện tử ra đời từ cách đây
0:00:40 - 0:00:46, hơn 20 năm thì đều tất cả các cái hệ
0:00:43 - 0:00:49, thống ờ thương mại điện tử này đều có sử
0:00:46 - 0:00:53, dụng một cái hệ thống khí nghị. thì tùy
0:00:49 - 0:00:56, vào cái mức độ quy mô và tính chất của
0:00:53 - 0:00:58, các cái hệ thống này mà chúng ta có thể
0:00:56 - 0:01:01, sử dụng các cái thuật toán khuyến nghị
0:00:58 - 0:01:03, khác nhau. Nhưng mà tóm lại đó là à hệ
0:01:01 - 0:01:05, thống khuyến nghị đó là một trong những
0:01:03 - 0:01:08, cái ứng dụng của máy học được sử dụng từ
0:01:05 - 0:01:10, rất là lâu và tầm ảnh hưởng rất là sâu
0:01:08 - 0:01:13, rộng trong xã hội.
0:01:10 - 0:01:15, Và nói về hệ thống khuyến nghị thì đây
0:01:13 - 0:01:19, là một cái hệ thống để mà giúp cho chúng
0:01:15 - 0:01:21, ta có thể dự đoán được cái sở thích hoặc
0:01:19 - 0:01:25, là cái dự đoán được cái hành vi của
0:01:21 - 0:01:27, người dùng dựa trên những cái dữ liệu à
0:01:25 - 0:01:31, mà chúng ta đã có. Dữ liệu này thì nó có
0:01:27 - 0:01:34, thể đến từ cái dữ liệu quá khứ của à cái
0:01:31 - 0:01:36, hành vi của người dùng hoặc là của những
0:01:34 - 0:01:39, cái cộng đồng có cái mối quan hệ gần gũi
0:01:36 - 0:01:42, với cái người dùng này. Từ đó để đưa ra
0:01:39 - 0:01:44, những cái gợi ý sản phẩm nội dung phù
0:01:42 - 0:01:46, hợp thì đây chính là cái tính chất quan
0:01:44 - 0:01:50, trọng đó là phải phù hợp với từng cái
0:01:46 - 0:01:52, người dùng của mình. Thì nếu mà nói về
0:01:50 - 0:01:54, ứng dụng trong thực tế thì nó có rất
0:01:52 - 0:01:56, nhiều những cái ví dụ chúng ta có thể kể
0:01:54 - 0:01:58, đến. Ví dụ như nói về thương mại điện tử
0:01:56 - 0:02:03, thì chúng ta sẽ có trang web là Amazon
0:01:58 - 0:02:05, hoặc là ở Việt Nam thì có Tiki đó. Thì à
0:02:03 - 0:02:08, cái trang thương mại điện tử này thì nó
0:02:05 - 0:02:11, sẽ gửi cho à người sử dụng à cái sản
0:02:08 - 0:02:15, phẩm nào mà họ nghĩ rằng là họ sẽ quan
0:02:11 - 0:02:17, tâm và họ có khả năng cao là sẽ chốt đơn
0:02:15 - 0:02:21, để mà mua cái sản phẩm đó.
0:02:17 - 0:02:25, Rồi trong cái à ví dụ khác đó chính là
0:02:21 - 0:02:28, Netflix thì đây là một cái à dịch vụ cho
0:02:25 - 0:02:32, phép là người ta có thể xem phim à tại
0:02:28 - 0:02:34, nhà và nó sẽ gợi ý những cái phim mà
0:02:32 - 0:02:37, người ta cái hệ thống này nó nghĩ rằng
0:02:34 - 0:02:41, là người dùng họ sẽ thích cái sản phẩm,
0:02:37 - 0:02:45, thích cái bộ phim của mình. Rồi Spotify
0:02:41 - 0:02:50, đó là gợi ý nhạc. TikTok là gợi đi gợi ý
0:02:45 - 0:02:53, video thì à cái cơ chế của nó đó là với
0:02:50 - 0:02:56, người dùng thì khi mà họ tiến hành họ
0:02:53 - 0:02:59, mua một cái sản phẩm họ mua một cái sản
0:02:56 - 0:03:02, phẩm nào đó thì cái hệ thống nó sẽ tìm
0:02:59 - 0:03:06, một cái sản phẩm tương tự hoặc một cái
0:03:02 - 0:03:09, sản phẩm mà họ nghĩ rằng là cái người
0:03:06 - 0:03:13, dùng này họ có thể quan tâm để từ đó đi
0:03:09 - 0:03:15, gợi ý cho cho người dùng. Đó thì cái tử
0:03:13 - 0:03:17, chữ similar này á thì nó có rất nhiều
0:03:15 - 0:03:19, cái cách hiểu khác nhau. Đó thì cái
0:03:17 - 0:03:22, similar này có thể là một cái sản phẩm
0:03:19 - 0:03:24, đi kèm với cái sản phẩm này hoặc có thể
0:03:22 - 0:03:26, là một cái sản phẩm mà kế tiếp của sản
0:03:24 - 0:03:30, phẩm này. Ví dụ như khi chúng ta mua một
0:03:26 - 0:03:33, cái à một chiếc áo thì cái similar này
0:03:30 - 0:03:36, nó có thể là cái quần mà đi kèm nó cái
0:03:33 - 0:03:40, quần đi kèm à để mà có thể phối được với
0:03:36 - 0:03:42, cái bộ đồ đó cho nó thời trang hơn. đó
0:03:40 - 0:03:45, hoặc là các cái phụ kiện đi kèm với cái
0:03:42 - 0:03:47, chiếc áo đó
0:03:45 - 0:03:51, thì chúng ta sẽ tiến hành à phân loại
0:03:47 - 0:03:53, các cái hệ thống à khuyến nghị thì à
0:03:51 - 0:03:56, chúng ta sẽ có những cái kiểu à phương
0:03:53 - 0:03:59, thức để mà
0:03:56 - 0:04:02, à đề xuất cho cái người dùng. Hình thức
0:03:59 - 0:04:05, đầu tiên đó là gợi ý thủ công.
0:04:02 - 0:04:08, hay nói cách khác đó là dùng cái run
0:04:05 - 0:04:08, bay.
0:04:09 - 0:04:17, Tức là nếu người dùng mà mua sản phẩm A
0:04:14 - 0:04:19, thì
0:04:17 - 0:04:22, chúng ta sẽ gợi ý cái sản phẩm B. Kiểu
0:04:19 - 0:04:26, như vậy thì đây là cái kiểu gợi ý thủ
0:04:22 - 0:04:28, công. Còn hai á là chúng ta sẽ tổng hợp
0:04:26 - 0:04:30, một cách đơn giản. Tổng cộng một cách
0:04:28 - 0:04:33, đơn giản. Ví dụ như top 10 những cái sản
0:04:30 - 0:04:36, phẩm hoặc là danh sách những cái sản
0:04:33 - 0:04:38, phẩm mà phổ biến nhất tức là những cái
0:04:36 - 0:04:41, hot trend trên mạng xã hội hoặc là trên
0:04:38 - 0:04:44, cái kênh thương mại của mình. À nếu
0:04:41 - 0:04:46, chúng ta thấy là 10 cái sản phẩm mà
0:04:44 - 0:04:48, người dùng người ta mua nhiều nhất trong
