0:00:01 - 0:00:16, [âm nhạc]
0:00:13 - 0:00:19, tiếp theo một cái thành phần cũng rất là
0:00:16 - 0:00:21, quan trọng trong lập trình Python và
0:00:19 - 0:00:23, nó cũng liên quan đến khá là nhiều đến
00:00:21 - 0:00:27, môn học này đó chính là Lập trình hướng
0:00:23 - 0:00:27, đối tượng
0:00:31 - 0:00:35, thì ở đây chúng ta sẽ có một cái hình
0:00:33 - 0:00:39, ảnh minh họa đó là một cái thực thể
00:00:35 - 0:00:42, trong đời sống đúng không Thì nó sẽ biểu
00:00:39 - 0:00:46, diễn trong máy tính là thông qua các cái
00:00:42 - 0:00:50, công cụ đó là class hoặc là object hoặc
000:46 - 0:00:52, là có các cái phương thức có các thuộc
000:50 - 0:00:55, tính tức là các thuộc tính
00:00:52 - 0:01:00, Ví dụ như cái người sinh viên này là có
00:00:55 - 0:01:02, email và có số điện thoại rồi có các cái
00:01:00 - 0:01:06, phương thức ví dụ như là gửi email hoặc
00:01:02 - 0:01:08, là gọi điện thì đây là một cái hình ảnh
00:01:06 - 0:01:12, minh họa tượng trưng cho cái việc là
00:01:08 - 0:01:14, chúng ta sẽ mô phỏng một cái thực thể ở
00:01:12 - 0:01:17, ngoài đời thực bằng các cái lớp đối
0:01:14 - 0:01:19, tượng ở bên trong ngôn ngữ lập trình thì
00:01:17 - 0:01:21, các tính chất của một cái hướng lập
00:01:19 - 0:01:23, trình đối tượng thì nó sẽ bao gồm tính
00:01:21 - 0:01:26, chất đó là trừu tượng hóa
00:01:23 - 0:01:29, trừu tượng hóa rồi tính encapsulation tức
00:01:26 - 0:01:31, là tính đóng gói các cái dữ liệu và
00:01:29 - 0:01:33, phương thức inheritance rất là tính kế thừa
00:01:31 - 0:01:36, tức là chúng ta có thể tái sử dụng lại
00:01:33 - 0:01:39, code của lớp cha mà không cần phải cài
00:01:36 - 0:01:42, đặt lại ở các cái lớp mà kế thừa là nó
00:01:39 - 0:01:44, còn kế thừa rồi tính đa hình thì đây là
00:01:42 - 0:01:46, 4 cái tính chất cơ bản của Lập trình
00:01:44 - 0:01:48, hướng đối tượng thì đầu tiên chúng ta
000:46 - 0:01:52, chỉ nhắc lại về một số cái khái niệm đầu
00:01:48 - 0:01:54, tiên đó là object là một cái dữ liệu
00:01:52 - 0:01:55, trừu tượng nó sẽ bao gồm những cái dữ
00:01:54 - 0:01:58, liệu nội bộ
00:01:55 - 0:02:01, dữ liệu nội bộ và được truy xuất thông
00:01:58 - 0:02:03, qua cái thuộc tính của dữ liệu cái thứ
00:02:01 - 0:02:06, hai đó chính là cái giao diện interface
00:02:03 - 0:02:08, để tương tác với object thông qua các
00:02:06 - 0:02:13, cái phương thức
00:02:08 - 0:02:15, và hay còn gọi là hàm thủ tục thì chút
00:02:13 - 0:02:17, nữa thì chúng ta sẽ nói chi tiết hơn là
00:02:15 - 0:02:20, làm sao chúng ta có thể tạo ra một cái
00:02:17 - 0:02:23, lớp đối tượng thông qua việc là tạo một
00:02:20 - 0:02:25, cái class với cái tên class các định
00:02:23 - 0:02:28, nghĩa các cái thuộc tính và các phương
00:02:25 - 0:02:30, thức thì hiểu một cách nôm Na tên class
000:28 - 0:02:32, chính là cái đại diện
00:02:30 - 0:02:38, cho một nhóm đối tượng
000:32 - 0:02:38, cái tên đại diện cho một nhóm đối tượng
00:02:41 - 0:02:46, Ví dụ như ở trong trường hợp thì chúng
000:43 - 0:02:48, ta có những cái nhóm đối tượng nào mà
000:46 - 0:02:49, bạn cần phải đại diện ví dụ nhóm đối
000:48 - 0:02:52, tượng là sinh viên nhóm đối tượng là
000:49 - 0:02:55, giảng viên nhóm đối tượng là phòng học
000:52 - 0:02:56, thì đó là một nhóm các đối tượng và
000:55 - 0:02:58, chính với từng cái nhóm đối tượng này
000:56 - 0:03:01, thì chúng ta sẽ đặt cái tên dựa trên cái
