0:00:01 - 0:00:13, [âm nhạc]
0:00:14 - 0:00:19, đầu tiên đó là chúng ta sẽ cùng tìm hiểu
0:00:16 - 0:00:21, về một cái thư viện của Python được sử
0:00:19 - 0:00:23, dụng rất là phổ biến hiện nay đó chính
0:00:21 - 0:00:25, là thư viện NumPy thì đây là một trong
0:00:23 - 0:00:27, những cái thư viện phổ biến nè Có hiệu
0:00:25 - 0:00:30, năng rất là cao tốc độ tính toán rất là
0:00:27 - 0:00:32, nhanh và có hỗ trợ rất nhiều những cái
0:00:30 - 0:00:36, thao tác tính toán trên các cái đối
0:00:32 - 0:00:40, tượng đại số ví dụ như là giá trị scalar
0:00:36 - 0:00:42, giá trị vô hướng vector array một chiều
0:00:40 - 0:00:45, hay còn gọi là array một chiều rồi ma
0:00:42 - 0:00:48, trận hai chiều và tensor có số chiều từ
0:00:45 - 0:00:50, ba trở lên thì để sử dụng thì chúng ta
0:00:48 - 0:00:55, sẽ import thư
0:00:50 - 0:00:57, viện là numpy as np thì np này chính là alias
0:00:55 - 0:01:00, là viết tắt của cái chữ N và P ở đây
0:00:57 - 0:01:02, thì sau này các cái hàm mà mình sử dụng
0:01:00 - 0:01:05, á thì chúng ta chỉ cần gõ là np. Cái
0:01:02 - 0:01:07, gì đó thì như vậy thì nó sẽ tiết kiệm
0:01:05 - 0:01:10, được cho chúng ta trong cái gọi là câu
0:01:07 - 0:01:12, lệnh của mình nó gọn gàng hơn à các cái
0:01:10 - 0:01:14, bước đầu tiên khi chúng ta tìm hiểu đó
0:01:12 - 0:01:17, chính là khởi tạo một cái array như thế
0:01:14 - 0:01:20, nào thì nếu như trong kiểu dữ liệu list
0:01:17 - 0:01:22, các cái phần tử của mình Nó sẽ phải có
0:01:20 - 0:01:25, cùng à khác kiểu dữ liệu cũng được đúng
0:01:22 - 0:01:27, không Nhưng mà trong NumPy array thì các
0:01:25 - 0:01:30, cái phần tử của mình nó phải là những
0:01:27 - 0:01:31, phần tử cùng kiểu dữ liệu thì ví dụ
0:01:30 - 0:01:34, chúng ta thấy đây là chúng ta đang khởi
0:01:31 - 0:01:36, tạo ra một cái array một chiều với các
0:01:34 - 0:01:39, cái con số nguyên có giá trị lần lượt là
0:01:36 - 0:01:41, 1 2 3 đó thì khi chúng ta tạo ra thì
0:01:39 - 0:01:45, chúng ta sẽ có một cái NumPy array có giá
0:01:41 - 0:01:48, trị như thế này
0:01:45 - 0:01:51, rồi và điều gì xảy ra nếu như chúng ta
0:01:48 - 0:01:53, đang xen giữa kiểu số nguyên và kiểu
0:01:51 - 0:01:57, chuỗi đúng không Thì chúng ta cũng thử
0:01:53 - 0:02:00, chạy thì nó sẽ tự động nó sẽ tự động ép
0:01:57 - 0:02:03, các cái phần tử
0:02:00 - 0:02:06, 1 và 3 về cái kiểu dữ liệu tổng quát hơn
0:02:03 - 0:02:07, đó là kiểu chuỗi thì trong các cái
0:02:06 - 0:02:09, kiểu dữ liệu của mình thì kiểu chuỗi là
0:02:07 - 0:02:11, tổng quát nhất tại vì nó có khả năng
0:02:09 - 0:02:13, biểu diễn được số nguyên, số thực hoặc là
0:02:11 - 0:02:15, boolean đúng không Nhưng mà ở đây trong
0:02:13 - 0:02:18, ví dụ này thì chúng
0:02:15 - 0:02:23, ta sử dụng đó là array của mình là kiểu
0:02:18 - 0:02:26, số nguyên rồi thì ở đây chúng ta sẽ
0:02:23 - 0:02:30, có in ra một số cái hàm phụ trợ Ví dụ
0:02:26 - 0:02:32, như kiểu dữ liệu của a là gì rồi kích
0:02:30 - 0:02:35, thước theo từng chiều hoặc là dimension
0:02:32 - 0:02:38, của a là gì thì chúng ta sẽ có lệnh là a.shape
0:02:35 - 0:02:40, rồi chúng ta muốn truy xuất đến ba
0:02:38 - 0:02:41, cái phần tử đầu tiên thì cái cách thức
0:02:40 - 0:02:44, chúng ta truy xuất cũng giống như trong
0:02:41 - 0:02:47, list là a mở ngoặc vuông 0 a mở ngoặc
0:02:44 - 0:02:49, vuông 1 và a[2] và cái cách thức chúng
0:02:47 - 0:02:53, ta thay đổi cái giá trị của mình cũng
0:02:49 - 0:02:55, tương tự như list đó là A0 là bằng 5 rồi
0:02:53 - 0:02:57, và a sau khi chúng ta cập nhật xong thì
0:02:55 - 0:03:00, chúng ta sẽ có giá trị như thế nào thì
0:02:57 - 0:03:04, chúng ta sẽ in ra màn hình thì ở đây ta
0:03:00 - 0:03:11, sẽ in ra ha A của mình type của nó đó là
0:03:04 - 0:03:13, kiểu NumPy array ndarray thì nd là
0:03:11 - 0:03:16, dimension tức là số chiều và array là
0:03:13 - 0:03:18, kiểu array và trong cái ví dụ này thì
0:03:16 - 0:03:22, chúng ta thấy đây là một vector nên số
0:03:18 - 0:03:24, chiều của mình nó chỉ có một chiều. Đây
0:03:22 - 0:03:25, là một cái tuple chỉ có một phần tử
0:03:24 - 0:03:29, và
0:03:25 - 0:03:33, à số phần tử Cho cái chiều duy nhất này
0:03:29 - 0:03:36, á đó là 3 nó có ba phần tử thì đây sẽ là
0:03:33 - 0:03:38, 3 rồi khi chúng ta truy xuất đến các cái
0:03:36 - 0:03:41, phần tử ba phần tử đầu tiên thì nó sẽ là
0:03:38 - 0:03:43, 1 2 và 3 kết quả ở đây và chúng ta muốn
0:03:41 - 0:03:45, thay đổi cái con số 1 này cái phần tử
0:03:43 - 0:03:48, đầu tiên này bằng con số 5 thì chúng ta
0:03:45 - 0:03:52, sẽ để là A0 = 5 và Kết quả nó sẽ ra là 5
0:03:48 - 0:03:55, 2 3 rồi 5 2
0:03:52 - 0:03:59, 3 à tương tự như vậy khi chúng ta muốn
0:03:55 - 0:04:00, làm việc trên kiểu ma trận thì số chiều
0:03:59 - 0:04:04, của mình trong trường hợp này nó sẽ có
0:04:00 - 0:04:07, hai chiều là bề cao và bề ngang chiều
0:04:04 - 0:04:10, dọc và chiều ngang thì ở đây chúng ta sẽ
0:04:07 - 0:04:13, tạo ra là mở ngoặc vuông, mở một cái
0:04:10 - 0:04:16, list là 1 2 rồi một cái list là 34 rồi
0:04:13 - 0:04:19, đóng ngoặc vuông rồi và chúng ta muốn
0:04:16 - 0:04:22, tạo ra một cái tensor với số chiều là ba
0:04:19 - 0:04:24, chiều thì ở đây chúng ta sẽ có là mở
0:04:22 - 0:04:26, ngoặc vuông của một cái ma trận
0:04:24 - 0:04:31, tiếp tục theo là một cái ma trận
0:04:26 - 0:04:35, khác thì ở trên là ma trận 12, 34
0:04:31 - 0:04:38, 34 và tiếp theo sẽ là ma trận 56 78 56
0:04:35 - 0:04:40, 78 thì nó sẽ nối hai cái thằng này lại
0:04:38 - 0:04:43, với nhau để tạo ra thành một cái array
0:04:40 - 0:04:47, có ba
0:04:43 - 0:04:51, chiều thì ở đây là 1 2 3
0:04:47 - 0:04:54, 4 rồi và shape của B nó sẽ là 2 x 2 tại vì
0:04:51 - 0:04:56, có hai chiều theo chiều cao hai phần tử
