0:00:01 - 0:00:13, [âm nhạc]
0:00:13 - 0:00:19, Hôm nay thì chúng ta sẽ đến với bài số 5
0:00:16 - 0:00:22, đó là bài đánh giá cái mô hình máy học
0:00:19 - 0:00:26, như thế nào thì tại sao chúng ta lại tìm
0:00:22 - 0:00:29, hiểu về cách đánh giá mô hình trước khi
0:00:26 - 0:00:32, chúng ta học về một số cái mô hình máy
0:00:29 - 0:00:34, học có rất nhiều cái lý do cái lý do đầu
0:00:32 - 0:00:36, tiên đó là để mà có thể chọn lựa được
0:00:34 - 0:00:38, một cái mô hình tốt Một cái mô hình phù
0:00:36 - 0:00:41, hợp á thì chúng ta phải hiểu được cái
0:00:38 - 0:04:10, bản chất của cái bài toán mình đang muốn
0:04:11 - 0:04:16, giải đó là gì và đồng thời chúng ta phải
0:00:44 - 0:04:19, biết cái cách để mà đánh giá được xem
0:04:16 - 0:04:21, cái kết quả này tốt hơn cái kết quả kia
0:04:19 - 0:04:23, như thế nào như vậy thì chúng ta phải
0:04:21 - 0:04:26, biết cái cách đánh giá bài toán trước
0:04:23 - 0:04:28, khi chúng ta chọn lựa cái mô hình để
0:04:26 - 0:04:30, giải quyết cái bài toán đó đó là lý do
0:04:28 - 0:04:32, tại sao chúng ta đưa cái bài số đánh giá
0:04:30 - 0:04:35, mô hình lên trước cái bài xây dựng một
0:04:32 - 0:04:37, cái mô hình máy học thì nội dung của
0:04:35 - 0:04:40, ngày hôm nay bao gồm các cái thành phần
0:04:37 - 0:04:42, đó là tại sao chúng ta lại phải đánh giá
0:04:40 - 0:04:45, một cái mô hình rồi các cái độ đo đánh
0:04:42 - 0:04:47, giá cho bài toán hồi quy rồi độ đo đánh
0:04:45 - 0:04:50, giá cho bài toán phân lớp thì đây là hai
0:04:47 - 0:04:52, cái loại bài toán mà rất là phổ biến
0:04:50 - 0:04:55, hiện nay khi mà chúng ta xây dựng một
0:04:52 - 0:04:57, cái mô hình máy học rồi quy trình đánh
0:04:55 - 0:04:59, giá khách quan là gì đó thì ở đây chúng
0:04:57 - 0:05:03, ta sẽ có cái khái niệm là quy trình hoặc
0:04:59 - 0:05:03, là và tên tiếng Anh nó gọi là
0:01:34 - 0:01:41, protocol rồi thì tại sao chúng ta cần
0:01:38 - 0:01:43, phải đánh giá một cái mô hình đó là để
0:01:41 - 0:01:46, chúng ta xác thực được cái mô hình của
0:01:43 - 0:01:49, mình có thật sự hiệu quả hay không đó mô
0:01:46 - 0:01:53, hình của mình nó đoán chính xác hay là
0:01:49 - 0:01:56, nó chỉ nhớ dữ liệu huấn luyện tức là có
0:01:53 - 0:01:58, rất nhiều cái tình huống là mô hình của
0:01:56 - 0:02:00, mình nó cho kết quả tốt đưa ra được cái
0:01:58 - 0:02:02, phán đoán đúng như là cái chúng ta mong
0:02:00 - 0:02:05, muốn nhưng đó chỉ là thực hiện trên cái
0:02:02 - 0:02:07, dữ liệu huấn luyện thôi Còn khi chúng ta
0:02:05 - 0:02:11, thực hiện trên những cái tập dữ liệu mới
0:02:07 - 0:02:13, hoàn toàn nó chưa bao giờ thấy đó thì nó
0:02:11 - 0:02:15, không có thực hiện được chính xác nữa
0:02:13 - 0:02:18, thì đó cũng chính là cái hiện tượng ta
0:02:15 - 0:02:20, gọi là overfitting và overfitting là một
0:02:18 - 0:02:22, trong những cái vấn đề lớn mà các cái mô
0:02:20 - 0:02:26, hình máy học cần phải giải
0:02:22 - 0:02:28, quyết tiếp theo đó là cái việc đánh giá
0:02:26 - 0:02:31, mô hình sẽ giúp cho chúng ta có thể chọn
0:02:28 - 0:02:32, lựa ra được cái mô hình tốt nhất Nó sẽ
0:02:31 - 0:02:34, giúp cho chúng ta chọn lựa được cái mô
0:02:32 - 0:02:36, hình tốt nhất tại vì nó cho phép chúng
0:02:34 - 0:02:38, ta có thể so sánh được rất nhiều các cái
0:02:36 - 0:02:41, mô hình với nhau đúng không Ví dụ mô
0:02:38 - 0:02:43, hình `Decision Tree` với mô hình `k-nearest`
0:02:41 - 0:02:47, `neighbor` với mô hình `Random Forest` thì
0:02:43 - 0:02:48, cái mô hình nào cho cái kết quả nó tốt
0:02:47 - 0:02:51, hơn một cách định lượng thì chúng ta sẽ
0:02:48 - 0:02:54, chọn cái mô hình đó như vậy thì đó chính
0:02:51 - 0:02:57, là một cái tiêu chí để mà chúng ta `lượng hóa`
0:02:54 - 0:02:59, đánh giá được cái sự cao thấp giữa
0:02:57 - 0:03:02, cái sự cao thấp về mặt độ chính xác giữa
0:02:59 - 0:03:04, các cái mô hình với nhau à tức là nó thể
0:03:02 - 0:03:06, thực hiện một cái việc so sánh một cách
0:03:04 - 0:03:09, định lượng so sánh một cách định lượng
0:03:06 - 0:03:10, thay vì chúng ta chỉ là làm một cái `so sánh`
0:03:09 - 0:03:13, định tính bằng cách là chúng ta đưa
0:03:10 - 0:03:15, vào một vài mẫu và chúng ta cảm giác là
0:03:13 - 0:03:18, mô hình a tốt hơn mô hình B nhưng mà cái
0:03:15 - 0:03:20, cách đó thì nó sẽ không có hiệu quả Còn
0:03:18 - 0:03:22, cái việc mà sử dụng các cái độ đo à
0:03:20 - 0:03:24, những cái phép so sánh và định lượng á
0:03:22 - 0:03:26, thì giúp cho chúng ta có cái số liệu
0:03:24 - 0:03:28, `tin cậy` khách quan để mà biết được là
0:03:26 - 0:03:30, mô hình nào tốt hơn mô hình nào để từ đó
0:03:28 - 0:03:33, chúng ta có thể chọn được cái mô hình
0:03:30 - 0:03:36, tốt nhất cho mình và việc đánh giá mô
0:03:33 - 0:03:39, hình thì sẽ tạo ra cái sự tin cậy cái sự
0:03:36 - 0:03:42, tin cậy này á nó sẽ đến trong chính cái
0:03:39 - 0:03:45, nội bộ cái team phát triển cái hệ thống
0:03:42 - 0:03:47, hoặc cũng là cái sự tin cậy đối với
0:03:45 - 0:03:49, khách hàng nếu như chúng ta đưa cho
0:03:47 - 0:03:51, khách hàng chúng ta chứng minh với khách
0:03:49 - 0:03:54, hàng rằng là cái mô hình của mình đã
0:03:51 - 0:03:57, được triển khai có cái độ chính xác là
0:03:54 - 0:03:59, 80 `phần trăm` trên các cái dữ liệu với một cái
0:03:57 - 0:04:01, quy trình rất là khách quan như thế này
0:03:59 - 0:04:03, thế kia thì khách hàng họ sẽ `cảm thấy`
0:04:01 - 0:04:06, cảm giác là chúng ta thực hiện một cách
0:04:03 - 0:04:08, khoa học và có cái sự tin tưởng trong
0:04:06 - 0:04:11, cái việc mà triển khai ứng dụng lên trên
0:04:08 - 0:04:13, thực tế đó như vậy thì cái sự `tin cậy` này
0:04:11 - 0:04:16, nó còn thể hiện được cái sự ổn định của
0:04:13 - 0:04:18, mô hình cái sự đáng tin của mô hình khi
0:04:16 - 0:04:21, triển khai trong thực tế hay không đó
0:04:18 - 0:04:24, chính là cái sự tin cậy và tiếp theo đó
0:04:21 - 0:04:26, chính là nó sẽ giúp cho chúng ta định
0:04:24 - 0:04:29, hướng được cái cách thức để cải thiện mô
0:04:26 - 0:04:31, hình cái việc mà chúng ta thử nghiệm với
0:04:29 - 0:04:33, rất nhiều những cái độ đo khác nhau đúng
0:04:31 - 0:04:35, không có rất nhiều những cái độ đo đánh
0:04:33 - 0:04:38, giá khác nhau Ví dụ như chúng ta có cái
0:04:35 - 0:04:42, độ đo là
0:04:38 - 0:04:42, `recall` hoặc là
0:04:43 - 0:04:48, `precision` chúng ta thấy là `precision` rất cao
0:04:46 - 0:04:50, nhưng mà cái `recall` rất thấp thì chúng
0:04:48 - 0:04:52, ta biết là à Như vậy là cái bước tiếp
0:04:50 - 0:04:55, theo để mà cải tiến cái mô hình này là
0:04:52 - 0:04:58, chúng ta phải đi cải thiện cái `recall` Tức
0:04:55 - 0:05:00, là cái độ phủ kết quả của mình thì cái
0:04:58 - 0:05:03, việc mà biết được là mô hình của mình nó
0:05:00 - 0:05:05, đang mạnh chỗ nào yếu chỗ nào thì nó sẽ
0:05:03 - 0:05:07, giúp cho chúng ta đề ra được cái phương
0:05:05 - 0:05:10, hướng nó đề ra được cái phương hướng là
0:05:07 - 0:05:11, sẽ cải tiến cái mô hình tiếp theo trong
0:05:10 - 0:05:16, tương lai như thế
0:05:11 - 0:05:19, nào và đến đây thì chúng ta sẽ bắt đầu
0:05:16 - 0:05:22, đi đến phân biệt hai cái bài toán mà
0:05:19 - 0:05:25, kinh điển cũng như là được đề cập rất là
0:05:22 - 0:05:28, nhiều trong các cái mô hình máy học hiện
0:05:25 - 0:05:31, đại hiện nay đó chính là mô hình hồi quy
0:05:28 - 0:05:34, regression là phân lớp classification
0:05:31 - 0:05:37, Thế thì đối với một số người thì chúng
0:05:34 - 0:05:40, ta hiểu cái cách rất là đơn giản đó là
0:05:37 - 0:05:43, hồi quy chính là cái bài toán mà cái đầu
0:05:40 - 0:05:44, ra của cái dữ liệu của mình đầu ra của
0:05:43 - 0:05:47, cái dữ liệu của mình đó là những cái giá
0:05:44 - 0:05:49, trị liên tục còn đối với cái bài toán
0:05:47 - 0:05:52, phân lớp thì cái đầu ra của mình đó là
0:05:49 - 0:05:55, chính là những cái giá trị `rời rạc` thì
0:05:52 - 0:06:02, đây là một cái cách hiểu rất là `nôm na`
0:05:55 - 0:06:04, rất là nó `ngắn gọn` là dễ hiểu và nhanh
0:06:02 - 0:06:06, thì là chúng ta dùng hai cái khái niệm
0:06:04 - 0:06:09, liên tục và `rạc` cho cái giá trị `đầu ra`
0:06:06 - 0:06:12, cho cái giá trị đầu ra của cái mô hình
0:06:09 - 0:06:13, Tuy nhiên thì với cái định nghĩa này với
0:06:12 - 0:06:16, cái cách phân biệt này thì chúng ta hãy
0:06:13 - 0:06:18, thử trả lời cái câu hỏi đó là bài toán
0:06:16 - 0:06:21, dự đoán tuổi là bài toán hồi quy hay
0:06:18 - 0:06:24, phân lớp đây là bài toán hồi quy hay
0:06:21 - 0:06:28, phân lớp ví dụ Chúng ta có ảnh đầu vào
0:06:24 - 0:06:31, của một người nào đó và chúng ta sẽ đoán
0:06:28 - 0:06:33, xem là với cái gương mặt này thì cái
0:06:31 - 0:06:36, tuổi của mình sẽ là bao nhiêu tuổi đó ví
0:06:33 - 0:06:38, dụ như cái `cô gái bên` trái tuổi là 25
0:06:36 - 0:06:40, cô gái bên phải tuổi là
0:06:38 - 0:06:44, 23 thì rõ ràng
0:06:40 - 0:06:46, à một số người sẽ nói đó là bài toán hồi
0:06:44 - 0:06:49, quy nhưng mà một số người sẽ nói đó là
0:06:46 - 0:06:50, bài toán `phân lớp` đó như vậy là chúng ta
0:06:49 - 0:06:53, sẽ có hai cái luồng ý kiến trái chiều
0:06:50 - 0:06:57, nhau những người nói đây là bài toán hồi
