0:00:01 - 0:00:13, [âm nhạc]
0:00:14 - 0:00:19, như vậy thì trong bài học ngày hôm nay
0:00:16 - 0:00:21, chúng ta sẽ cùng đến với hai cái thành
0:00:19 - 0:00:24, phần cuối cùng của một cái machine
0:00:21 - 0:00:27, learning pipeline đó chính là triển khai
0:00:24 - 0:00:30, và giám sát mô hình trong đó thì cái
0:00:27 - 0:00:33, giai đoạn triển khai chúng ta làm sao có
0:00:30 - 0:00:37, thể đưa cái mô hình của mình đến với
0:00:33 - 0:00:39, được với cái người dùng cuối và sau khi
0:00:37 - 0:00:41, chúng ta đã đưa cái mô hình của mình đã
0:00:39 - 0:00:43, huấn luyện đến người dùng cuối rồi thì
0:00:41 - 0:00:46, chúng ta sẽ phải giám sát nó thì cái
0:00:43 - 0:00:48, việc giám sát này á đảm bảo rằng là cái
0:00:46 - 0:00:51, mô hình của mình vẫn được hoạt động một
0:00:48 - 0:00:54, cách trơn tru và đúng như những gì chúng
0:00:51 - 0:00:56, ta kỳ vọng và kể cả trong trường hợp mà
0:00:54 - 0:00:59, cái dữ liệu của mình
0:00:56 - 0:01:01, Ờ không đạt được như kỳ vọng thì chúng
0:00:59 - 0:01:04, ta sẽ có những cái điều chỉnh cho kịp
0:01:01 - 0:01:07, thời thế thì chúng ta sẽ đến với những
0:01:04 - 0:01:09, cái nội dung sau đây đầu tiên đó là
0:01:07 - 0:01:12, chúng ta sẽ giới thiệu về triển khai một
0:01:09 - 0:01:14, cái mô hình máy học nó là cái gì sau đó
0:01:12 - 0:01:17, thì chúng ta sẽ tiếp cận một số cái
0:01:14 - 0:01:22, phương pháp triển khai cái mô hình máy
0:01:17 - 0:01:24, học và chúng ta sẽ có hai phần tiếp theo
0:01:22 - 0:01:26, đó chính là triển khai ứng dụng dưới
0:01:24 - 0:01:29, dạng web và triển khai ứng dụng dưới
0:01:26 - 0:01:32, dạng dịch vụ Đây là hai cái hình thức
0:01:29 - 0:01:34, được sử dụng rất là phổ biến và nó
0:01:32 - 0:01:36, cũng nằm trong cái phạm vi của môn học
0:01:34 - 0:01:39, này chúng ta có thể thực hiện được một
0:01:36 - 0:01:41, cách dễ dàng và cuối cùng đó là chúng ta
0:01:39 - 0:01:44, sẽ tiến hành Giám sát cái mô hình máy
0:01:41 - 0:01:47, học khi triển khai nó sẽ như thế nào thì
0:01:44 - 0:01:50, đầu tiên chúng ta sẽ cùng đến với phần
0:01:47 - 0:01:52, giới thiệu à triển khai mô hình máy học
0:01:50 - 0:01:55, thì như chúng ta cũng đã biết triển khai
0:01:52 - 0:01:58, mô hình máy học đó là chúng ta làm sao
0:01:55 - 0:02:01, để cho mô hình dự đoán có thể tiếp cận
0:01:58 - 0:02:04, được đến cái người dùng cuối đến người
0:02:01 - 0:02:06, dùng cuối và cái người dùng cuối này thì
0:02:04 - 0:02:09, nó có thể là những người dùng trên mạng
0:02:06 - 0:02:11, xã hội Nó có thể là những cái khách hàng
0:02:09 - 0:02:13, sử dụng trên smartphone thì trên cái
0:02:11 - 0:02:16, hình vẽ ở đây chúng ta thấy người dùng
0:02:13 - 0:02:18, cuối sẽ tiếp cận cái mô hình của mình
0:02:16 - 0:02:21, thông qua hai cái công cụ rất là phổ
0:02:18 - 0:02:24, biến một đó là ứng dụng di động và hai
0:02:21 - 0:02:27, đó là cái ứng dụng dạng web đây là có
0:02:24 - 0:02:30, thể nói là hai cái nền tảng giúp cho
0:02:27 - 0:02:32, người dùng tiếp cận đến các các cái
0:02:30 - 0:02:37, thành tựu của công nghệ một cách gọi là
0:02:32 - 0:02:38, nhanh chóng và phổ biến nhất và cái việc
0:02:37 - 0:02:42, mà triển khai mô hình máy học nó cũng không
0:02:38 - 0:02:45, chỉ dừng lại ở người dùng cuối mà nó có
0:02:42 - 0:02:48, thể là ở mức độ tương tác với hệ thống
0:02:45 - 0:02:50, khác ví dụ như chúng ta nhiệm vụ của
0:02:48 - 0:02:53, chúng ta đó là chúng ta sẽ phải bàn giao
0:02:50 - 0:02:56, một cái thuật toán cho một cái bên thứ
0:02:53 - 0:02:57, ba thì chúng ta làm sao để có thể bàn
0:02:56 - 0:03:00, giao được cái mô hình này cho cái bên
0:02:57 - 0:03:03, thứ ba thì đó chính là cái ý nghĩa của
0:03:00 - 0:03:06, cái hệ thống khác ví dụ Chúng ta đang
0:03:03 - 0:03:09, muốn làm một cái dịch vụ chứng thực về
0:03:06 - 0:03:12, mặt gương mặt tức là nhận diện Xem cái
0:03:09 - 0:03:14, Gương Mặt Của Người này là ai đúng không
0:03:12 - 0:03:16, định danh của nó là gì thì chúng ta sẽ
0:03:14 - 0:03:18, cung cấp cái dịch vụ chứng thực gương
