0:00:01 - 0:00:13, [âm nhạc]
0:00:14 - 0:00:17, trong bài hướng dẫn thực hành ngày hôm
0:00:16 - 0:00:21, nay thì chúng
0:00:17 - 0:00:23, ta sẽ đến với cái phần là tạo mới đặc
0:00:21 - 0:00:27, trưng hay còn gọi là Feature
0:00:23 - 0:00:30, Extraction thì đây Có lẽ nói có thể nói
0:00:27 - 0:00:33, là một trong những bài rất là quan trọng
0:00:30 - 0:00:36, trong cái lĩnh vực về khoa học dữ liệu
0:00:33 - 0:00:37, hoặc là trong lĩnh vực về máy học trên
0:00:36 - 0:00:41, cái dữ liệu có cấu
0:00:37 - 0:00:43, trúc Feature Extraction thì ở đây là
0:00:41 - 0:00:47, chúng ta sẽ dựa trên một số cái kinh
0:00:43 - 0:00:50, nghiệm trong cái lĩnh vực của cái miền
0:00:47 - 0:00:53, dữ liệu của mình đang làm để mình có thể
0:00:50 - 0:00:57, tạo ra thêm những cái đặc trưng mới nhằm
0:00:53 - 0:01:01, giúp cho việc dự đoán cái giá trị output
0:00:57 - 0:01:03, nó tốt hơn và Feature Extraction này đã
0:01:01 - 0:01:04, được chứng minh trong rất nhiều những
0:01:03 - 0:01:07, cái cuộc thi trên Kaggle
0:01:04 - 0:01:10, đối với những loại dữ liệu dạng
0:01:07 - 0:01:12, bảng đó là một trong những cái bước quan
0:01:10 - 0:01:16, trọng để giúp cho cái mô hình của mình
0:01:12 - 0:01:19, tăng cái độ chính xác lên tăng độ
0:01:16 - 0:01:22, chính xác lên một cách đáng kể và là cái
0:01:19 - 0:01:24, sự khác biệt giữa các cái team với nhau
0:01:22 - 0:01:26, bên cạnh những cái kỹ thuật sử dụng mô
0:01:24 - 0:01:29, hình truyền thống như là sử dụng các cái
0:01:26 - 0:01:32, mô hình phân loại mô hình hồi quy rồi
0:01:29 - 0:01:34, kết hợp nhiều mô hình thì tạo mới đặc
0:01:32 - 0:01:37, trưng hay còn gọi là Feature Engineering
0:01:34 - 0:01:38, hoặc là Feature Extraction thì lưu ý là
0:01:37 - 0:01:41, Feature Extraction là một phần của
0:01:38 - 0:01:42, Feature Engineering. Feature Engineering
0:01:41 - 0:01:46, thì có thể bao gồm Feature Extraction
0:01:42 - 0:01:48, nè Feature Transformation tức là biến
0:01:46 - 0:01:51, đổi hoặc là chuẩn hóa cái đặc trưng nè
0:01:48 - 0:01:53, rồi Feature Selection là chọn lựa đặc
0:01:51 - 0:01:56, trưng nè thì đây là có thể nói là một
00:01:53 - 0:02:00, trong những cái bước rất là quan trọng.
0:01:56 - 0:02:04, Thì à đầu tiên đó là cái kỹ thuật đầu tiên
0:02:00 - 0:02:05, đó là chúng ta sẽ biến đổi toán học. À ví
0:02:04 - 0:02:06, dụ như chúng ta có một cái bảng dữ liệu
0:02:05 - 0:02:10, như
0:02:06 - 0:02:13, sau à chúng ta sẽ có cái thông tin là
0:02:10 - 0:02:15, vận tốc và thời gian đúng không? Thì đây
0:02:13 - 0:02:18, là lần lượt là các giá trị vận tốc. Còn Đây
0:02:15 - 0:02:22, là lần lượt là giá trị thời gian. Thì khi
0:02:18 - 0:02:24, đó chúng ta sẽ tạo ra thêm một cái đặc
0:02:22 - 0:02:28, trưng nữa dựa trên hai cái cột cho trước
0:02:24 - 0:02:30, này đó là khoảng cách. Thì Khoảng cách sẽ
0:02:28 - 0:02:32, là bằng vận tốc nhân thời gian đó thì
0:02:30 - 0:02:34, chúng ta sẽ có công thức biến đổi toán
0:02:32 - 0:02:38, học là công thức nhân ở đây. Như vậy thì
0:02:34 - 0:02:42, chúng ta truyền vào là tạo mới một cái
0:02:38 - 0:02:44, đặc trưng nữa có tên là `distance` và đặc
0:02:42 - 0:02:47, trưng này thì bằng hai cái cột tương ứng
0:02:44 - 0:02:49, là cột `velocity` tức là vận tốc nhân với
0:02:47 - 0:02:50, lại cái cột là `time` (thời gian). Và lưu ý là
0:02:49 - 0:02:53, chúng ta thực hiện cái phép nhân này là
0:02:50 - 0:02:55, nhân từng phần tử. Ví dụ cái kết quả ở
0:02:53 - 0:02:59, đây chúng ta thấy là
0:02:55 - 0:03:01, ờ 7 8 đúng không? Thì 7 x 8 là bằng 56.
0:02:59 - 0:03:03, Như vậy là chúng ta đang nhân theo từng
0:03:01 - 0:03:05, hàng, khái niệm nhân từng hàng chứ nó
0:03:03 - 0:03:08, không phải là tích vô hướng hay cái gì
0:03:05 - 0:03:11, hết. Nhân từng hàng. Rồi cái kỹ thuật thứ
