0:00:01 - 0:00:13, [âm nhạc]
0:00:14 - 0:00:20, Hôm nay thì chúng ta sẽ cùng đến với bài
0:00:17 - 0:00:24, số hai đó là lập trình với các cái thư
0:00:20 - 0:00:26, viện nổi tiếng của Python được sử dụng
0:00:24 - 0:00:29, và trong cái môn học này đó là thư viện
0:00:26 - 0:00:32, NumPy thì đây là thư viện mà giúp cho chúng
0:00:29 - 0:00:35, ta thực hiện các cái tính toán trên số
0:00:32 - 0:00:37, học và trên đại số tuyến tính.
0:00:35 - 0:00:41, Matplotlib là cái thư viện để giúp cho chúng ta
0:00:37 - 0:00:44, trực quan hóa dữ liệu và
0:00:41 - 0:00:47, pandas là cái thư viện để giúp cho chúng
0:00:44 - 0:00:50, ta có thể xử lý trên cái dữ liệu dạng
0:00:47 - 0:00:51, bảng. Giúp cho chúng ta xử lý như các cái
0:00:50 - 0:00:56, dữ
0:00:51 - 0:00:58, liệu mà ở dạng bảng đó. Thì trong bài học
0:00:56 - 0:01:01, ngày hôm nay chúng ta sẽ cùng tìm hiểu
0:00:58 - 0:01:04, về ba cái thư viện này.
0:01:01 - 0:01:07, Đầu tiên đó là thư viện
0:01:04 - 0:01:09, NumPy. Thì thư viện NumPy là một cái thư viện
0:01:07 - 0:01:12, tính toán khoa học mà nó có cái hiệu
0:01:09 - 0:01:14, năng rất là cao. Tức là nếu như chúng ta
0:01:12 - 0:01:17, sử dụng các cái hàm của NumPy để thực
0:01:14 - 0:01:22, hiện các cái thao tác tính toán trên ma
0:01:17 - 0:01:24, trận, trên vectơ hoặc là trên tensor thì
0:01:22 - 0:01:27, cái tốc độ của nó cực kỳ nhanh. Tại vì
0:01:24 - 0:01:29, NumPy nó bên dưới, ngầm bên dưới của nó đã
0:01:27 - 0:01:31, được cài đặt bằng các cái ngôn ngữ cấp
0:01:29 - 0:01:34, thấp nên cái tốc độ tính toán của nó rất
0:01:31 - 0:01:36, là nhanh. Nếu như chúng ta cố gắng cài
0:01:34 - 0:01:39, đặt lại các cái thao tác cộng trừ nhân
0:01:36 - 0:01:41, chia ma trận mà bằng các cái vòng For
0:01:39 - 0:01:43, bình thường của Python á thì chắc chắn
0:01:41 - 0:01:45, luôn là cái tốc độ của mình nó sẽ thấp
0:01:43 - 0:01:47, hơn rất là nhiều so với cái việc là
0:01:45 - 0:01:50, chúng ta sử dụng các cái hàm trong thư
0:01:47 - 0:01:52, viện NumPy này. Đó thì đây là một cái thư
0:01:50 - 0:01:53, viện rất là phổ biến trong Python. Có thể
0:01:52 - 0:01:56, nói là một trong những thư viện phổ biến
0:01:53 - 0:01:59, nhất. Tại vì khi nói về lập trình với
0:01:56 - 0:02:02, Python thì chúng ta sẽ phải lập trình
0:01:59 - 0:02:06, với à xử lý các cái số liệu rất là nhiều.
0:02:02 - 0:02:08, Và trong các cái xử lý số liệu thì xử lý
0:02:06 - 0:02:12, trên các cái đối tượng là đại số tuyến
0:02:08 - 0:02:14, tính như là vectơ, ma trận và tensor là
0:02:12 - 0:02:17, những cái loại dữ liệu mà được sử dụng
0:02:14 - 0:02:18, sử dụng rất là phổ biến. Và một số cái
0:02:17 - 0:02:22, chủ đề
0:02:18 - 0:02:25, chính trong cái thư viện NumPy đó chính
0:02:22 - 0:02:28, là về array hay là indexing hoặc là
0:02:25 - 0:02:31, slicing array. Tức là chúng ta sẽ khởi
0:02:28 - 0:02:36, tạo ra một cái đối tượng à Ví dụ như đối
0:02:31 - 0:02:38, tượng dạng số học 7 3 7 - 5. Chúng ta
0:02:36 - 0:02:41, chúng ta tạo ra một cái vector như thế
0:02:38 - 0:02:43, nào hoặc là chúng ta tạo ra một cái ma
0:02:41 - 0:02:48, trận như thế
0:02:43 - 0:02:53, nào. Rồi và chúng ta sẽ tìm hiểu về cái
0:02:48 - 0:02:55, cơ chế đánh chỉ mục trong cái NumPy nó có
0:02:53 - 0:02:57, khác gì so với cái chỉ mục của Python
0:02:55 - 0:02:59, hay không? Thì cái cách đánh chỉ mục của
0:02:57 - 0:03:01, nó nó cũng tương tự như trong Python đó
0:02:59 - 0:03:04, là là chỉ mục của mình là chỉ mục dạng
0:03:01 - 0:03:05, số nguyên và chỉ số của mình nó sẽ bắt
0:03:04 - 0:03:09, đầu từ
0:03:05 - 0:03:12, 0. Thì ví dụ ở đây là theo cột thì đây là
0:03:09 - 0:03:15, cột thứ 0, cột thứ một, cột thứ hai. Còn
0:03:12 - 0:03:19, đây là dòng thứ không, dòng thứ một. Thì
0:03:15 - 0:03:22, đó là indexing à đánh chỉ mục. Slicing là
0:03:19 - 0:03:25, cái cơ chế để cho phép chúng ta trích ra
0:03:22 - 0:03:28, trong cái vector hoặc là trích ra trong
0:03:25 - 0:03:30, cái ma trận các cái vector con và ma trận
0:03:28 - 0:03:34, con. Ví dụ chúng ta muốn lấy ra hai
0:03:30 - 0:03:37, cái giá trị cuối ở bên trong cái vector
0:03:34 - 0:03:38, này thì chúng ta sẽ lấy ra như thế nào.
0:03:37 - 0:03:41, Chúng ta lấy ra hai cái giá trị cuối này
0:03:38 - 0:03:43, để xử lý. Hoặc là chúng ta muốn lấy ra
0:03:41 - 0:03:47, bốn cái giá trị cuối cùng này thì chúng
0:03:43 - 0:03:52, ta sẽ lấy ra như thế nào bằng cái cơ chế
0:03:47 - 0:03:55, slicing. Rồi kiểu dữ liệu thì trong
0:03:52 - 0:03:58, NumPy nó có hỗ trợ các cái kiểu dữ liệu nào
0:03:55 - 0:04:01, khi chúng ta xây dựng một cái array đúng
0:03:58 - 0:04:03, không? Thì ở trong cái array thì nó sẽ
0:04:01 - 0:04:04, phải thỏa mãn một tính chất đó là tất cả
0:04:03 - 0:04:06, các cái giá trị trong cùng một cái array
0:04:04 - 0:04:09, nó phải cùng một cái kiểu dữ liệu. Thế
0:04:06 - 0:04:12, thì cái kiểu dữ liệu mà NumPy array nó hỗ
0:04:09 - 0:04:16, trợ đó là những cái dữ liệu gì? Ví dụ như
0:04:12 - 0:04:20, NumPy array sẽ hỗ trợ dữ liệu là kiểu số
0:04:16 - 0:04:23, nguyên hoặc là số
0:04:20 - 0:04:25, thực hoặc là
0:04:23 - 0:04:27, boolean. Và ngoài những kiểu này ra thì
0:04:25 - 0:04:31, còn những kiểu nào hay
0:04:27 - 0:04:35, không? Rồi NumPy còn hỗ trợ các cái thao tác
0:04:31 - 0:04:39, là copy và view dữ liệu. Copy tức là
0:04:35 - 0:04:43, chúng ta sẽ tạo một cái đối tượng mới từ
0:04:39 - 0:04:46, một cái array cũ hay là chúng ta clone
0:04:43 - 0:04:48, cái dữ liệu của mình ra như thế nào. Rồi
0:04:46 - 0:04:50, chúng ta sẽ trực quan, chúng ta sẽ xem
0:04:48 - 0:04:53, cái dữ liệu đó hiển thị lên trên màn
0:04:50 - 0:04:56, hình như thế
0:04:53 - 0:05:00, nào. Và một phần cũng rất là quan trọng
0:04:56 - 0:05:02, trong cái thư viện NumPy này và được sử
0:05:00 - 0:05:06, dụng cũng rất là thường xuyên đó chính
0:05:02 - 0:05:09, là array shape và reshape. Array shape là cái
0:05:06 - 0:05:11, cơ chế là cái phương thức để giúp cho
0:05:09 - 0:05:13, chúng ta biết cái array của mình nó có
0:05:11 - 0:05:15, kích thước là bao nhiêu, nó có bao nhiêu
0:05:13 - 0:05:20, chiều và kích thước cho từng chiều là
0:05:15 - 0:05:23, bao nhiêu. Ví dụ đây là một cái array có
0:05:20 - 0:05:25, cái số chiều là 1 nhưng mà cái kích
0:05:23 - 0:05:28, thước cho từng chiều của mình nó là 3.
0:05:25 - 0:05:30, Như vậy nó sẽ là 3. Đối với cái
0:05:28 - 0:05:34, array này thì cái shape của của nó nó sẽ
0:05:30 - 0:05:37, là bao nhiêu đó. Shape ở đây nó sẽ là 2 3.
0:05:34 - 0:05:39, Tức là đây là một cái array có hai chiều.
0:05:37 - 0:05:43, Trong đó thành phần thứ nhất có kích
0:05:39 - 0:05:46, thước đó là 2 và cái chiều thứ hai kích
0:05:43 - 0:05:50, thước của nó là 3. Và nó cho phép cái cơ
0:05:46 - 0:05:52, chế để chuyển đổi à cái array của mình
0:05:50 - 0:05:54, từ cái chiều, từ cái dạng này sang cái
0:05:52 - 0:05:58, dạng khác. Ví
0:05:54 - 0:06:01, dụ đối với cái dữ liệu ma trận nó có thể
0:05:58 - 0:06:03, biến thành dữ liệu dạng vector. Chúng
0:06:01 - 0:06:06, ta sẽ trải các cái giá trị của
0:06:03 - 0:06:06, ma trận này ra thành
0:06:07 - 0:06:12, vector. Thì để mà có thể biến một cái ma
0:06:10 - 0:06:14, trận thành một cái vector chúng ta sẽ
0:06:12 - 0:06:17, phải dùng cái hàm là
0:06:14 - 0:06:20, reshape. Chúng ta sẽ phải dùng cái hàm là
0:06:17 - 0:06:23, reshape. Thì hàm reshape sẽ cho phép chúng
0:06:20 - 0:06:25, ta chuyển đổi dữ liệu một cách linh hoạt
0:06:23 - 0:06:27, chuyển từ các cái kích thước này sang
0:06:25 - 0:06:30, các kích thước khác, từ ma trận thành
0:06:27 - 0:06:31, vector hoặc từ à vector chuyển ngược
0:06:30 - 0:06:34, trở về thành ma
0:06:31 - 0:06:37, trận. Rồi chúng ta sẽ thực hiện cái thao
0:06:34 - 0:06:40, tác lặp ở trên cái array như thế
0:06:37 - 0:06:43, nào. Rồi chúng ta sẽ thực hiện cái thao
0:06:40 - 0:06:46, tác là ghép hoặc là tách array. Tức là chúng
0:06:43 - 0:06:54, ta sẽ có hai cái array khác nhau. Ví dụ
0:06:46 - 0:06:57, như là 1 2 3 rồi array là 4 5 6. Chúng ta
