0:00:01 - 0:00:13, [âm nhạc]
0:00:14 - 0:00:19, Hôm nay chúng ta sẽ cùng đến với bài học
0:00:16 - 0:00:22, tiếp theo đó là các cái mô hình học
0:00:19 - 0:00:24, không giám sát và tên tiếng Anh của cái
0:00:22 - 0:00:25, mô hình học không giám sát đó chính là n
0:00:24 - 0:00:28, supervise
0:00:25 - 0:00:31, learning đầu tiên thì chúng ta sẽ cùng
0:00:28 - 0:00:34, giới thiệu về các khái niệm trong học
0:00:31 - 0:00:36, không giám sát và sau đó thì chúng ta sẽ
0:00:34 - 0:00:39, cùng tìm hiểu chi tiết hơn các cái thuật
0:00:36 - 0:00:41, toán trong học không giám sát bao gồm
0:00:39 - 0:00:43, các cái mô hình gom nhóm hoặc là
0:00:41 - 0:00:46, clustering mô hình giảm chiều dữ liệu
0:00:43 - 0:00:47, hay là dimension reduction tức là giảm
0:00:46 - 0:00:50, chiều dữ
0:00:47 - 0:00:53, liệu đối với cái khái niệm về học không
0:00:50 - 0:00:55, giám sát thì đây là một cái nhánh trong
0:00:53 - 0:00:57, cái lĩnh vực về machine learning Và nó
0:00:55 - 0:00:59, có cái nhiệm vụ hai cái nhiệm vụ chính
0:00:57 - 0:01:02, Nhiệm vụ đầu tiên đó là nó học ra được
0:00:59 - 0:01:04, cái phân bố của cái dữ liệu và tiếp theo
0:01:02 - 0:01:06, sau khi chúng ta đã học được cái phân bố
0:01:04 - 0:01:09, của dữ liệu rồi thì nó sẽ tiến hành là
0:01:06 - 0:01:12, biểu diễn cái dữ liệu của mình sao cho
0:01:09 - 0:01:14, nó hiệu quả hơn thì chi tiết về các cái
0:01:12 - 0:01:16, khái niệm học phân bố dữ liệu hoặc là
0:01:14 - 0:01:18, biểu diễn dữ liệu hiệu quả hơn thì chúng
0:01:16 - 0:01:23, ta sẽ được trình bày trong những cái
0:01:18 - 0:01:25, phần tiếp theo và đầu vào cho cái thuật
0:01:23 - 0:01:27, toán học không giám sát của mình đó
0:01:25 - 0:01:31, chính là chúng ta chỉ cần có cái dữ liệu
0:01:27 - 0:01:34, x Nếu như các cái mô mô hình dựng đoán
0:01:31 - 0:01:37, chúng ta sẽ phải có cái dữ liệu X và cái
0:01:34 - 0:01:40, giá trị y là cái giá tr dựng đoán với
0:01:37 - 0:01:43, cái đặc trưng đầu vào là x thì đây chính
0:01:40 - 0:01:46, là học có giám sát hay còn gọi là
0:01:43 - 0:01:46, supervised
0:01:49 - 0:01:56, learning rồi thì đối với học không giám
0:01:53 - 0:01:59, sát thì chúng ta sẽ không cần có cái
0:01:56 - 0:02:03, thông tin đầu ra này mà chúng ta chỉ cần
0:01:59 - 0:02:05, có cái dữ kiện đầu vào này thôi và như
0:02:03 - 0:02:08, đã đề cập ở trước tức là chúng ta sẽ tìm
0:02:05 - 0:02:11, cách để gom nhóm các cái dữ liệu này sao
0:02:08 - 0:02:13, cho nó đưa vô những cái phân bố chúng ta
0:02:11 - 0:02:15, sẽ gom nhóm dựa trên cái phân bố của cái
0:02:13 - 0:02:17, dữ liệu và khi chúng ta đã phân nhóm
0:02:15 - 0:02:21, xong rồi thì chúng ta có thể chuyển đổi
0:02:17 - 0:02:23, cái X này thành một cái dạng thức là x'
0:02:21 - 0:02:26, và cái x' này thì nó là một cái dạng
0:02:23 - 0:02:28, biểu diện mới nó hiệu quả hơn so với X
0:02:26 - 0:02:31, thì đó chính là cái mục tiêu của học
0:02:28 - 0:02:34, không giám sát và dưới đây đó là một số
0:02:31 - 0:02:36, cái chủ đề chính trong học giám sát bao
0:02:34 - 0:02:38, gồm là chủ đề gom nhóm dữ liệu hay còn
0:02:36 - 0:02:38, gọi là
0:02:39 - 0:02:44, clustering và giảm chiều dữ liệu đó là
0:02:44 - 0:02:47, dimension
