0:00:01 - 0:00:15, [âm nhạc]
0:00:13 - 0:00:17, rồi trong những phần trước thì chúng ta
0:00:15 - 0:00:19, đã tìm hiểu qua cái các cái thành phần
0:00:17 - 0:00:22, cấu tạo của một cái mạng CNN rồi sau đó
0:00:19 - 0:00:24, chúng ta đã tiến hành cài đặt cái mạng
0:00:22 - 0:00:28, CNN này với một cái kiến trúc rất là đơn
0:00:24 - 0:00:30, giản đó là kiến trúc lenet và để mà hiểu
0:00:28 - 0:00:32, rõ hơn cái mạng CNN này thì không cách
0:00:30 - 0:00:35, nào khác đó là chúng ta sẽ phải trực
0:00:32 - 0:00:36, quan trực quan hóa cái mạng CNN Thế thì
0:00:35 - 0:00:38, có rất nhiều cái cách thức để chúng ta
0:00:36 - 0:00:42, có thể trực quan hóa được cái mạng CNN
0:00:38 - 0:00:46, cách đầu tiên đó là chúng ta sẽ hiển thị
0:00:42 - 0:00:48, tất cả các cái feature m mà thực hiện
0:00:46 - 0:00:50, được trong suốt cái quá trình mà mạng
0:00:48 - 0:00:53, CNN thực hiện các cái phép biến đổi như
0:00:50 - 0:00:56, là conversion poing rue thì đầu vào
0:00:53 - 0:00:59, chúng ta thấy là có một cái ảnh độ sâu
0:00:56 - 0:01:01, là ba tức là tương ứng ba kên màu thì
0:00:59 - 0:01:03, cái này là chúng ta Trực Quan Hóa và con
0:01:01 - 0:01:05, người nhìn vô là có thể hiểu một cách dễ
0:01:03 - 0:01:07, dàng sau đó thì chúng ta sẽ tiến hành
0:01:05 - 0:01:09, cái phép biến đổi là conion thì ở cái
0:01:07 - 0:01:12, phép biến đổi conion ở cái lớ đầu tiên
0:01:09 - 0:01:15, thì nó sẽ tạo ra một cái mạng xin lạii
0:01:12 - 0:01:18, nó sẽ tạo ra một cái feature
0:01:15 - 0:01:21, map và cái feature map này có cái độ sâu
0:01:18 - 0:01:25, là D thì chúng ta sẽ trực quan hóa bằng
0:01:21 - 0:01:28, cách đó là cắt ra các cái lá cắt ở D cái
0:01:25 - 0:01:31, độ sâu này và ứng với mỗi cái l cắt
0:01:28 - 0:01:33, chúng ta sẽ hiển thị nó trên màn hình để
0:01:31 - 0:01:39, xem coi là cái gì Nằm ở bên trong cái
0:01:33 - 0:01:41, lát cắt này thì từ từ trong ra bên ngoài
0:01:39 - 0:01:43, đúng không thì chúng ta sẽ có D cái l
0:01:41 - 0:01:46, cắt và có bao nhiêu cái lá cắt thì chúng
0:01:43 - 0:01:49, ta sẽ hiển thị lên trên hết cái màn hình
0:01:46 - 0:01:51, đó từ trong ra ngoài có bao nhiêu cái lá
0:01:49 - 0:01:54, CT thì chúng ta sẽ hiển thị lên
0:01:51 - 0:01:58, hết thì đây là cái cách trực Quang đầu
0:01:54 - 0:02:01, tiên và cách trực quan thứ hai đó là
0:01:58 - 0:02:04, chúng ta khi mà mô hình mạng CNN nó huấn
0:02:01 - 0:02:08, luyện xong thì nó sẽ có các cái
0:02:04 - 0:02:11, filter và filter này là các cái trọng số
0:02:08 - 0:02:14, mà mạng CNN nó đã huấn luyện và tự động
0:02:11 - 0:02:16, nó điền các cái giá trị ở bên trong cái
0:02:14 - 0:02:19, cái filter này và chúng ta sẽ Trực Quan
0:02:16 - 0:02:21, Hóa Cái futter này để xem coi sau khi
0:02:19 - 0:02:22, huấn luyện xong thì các cái futter này
0:02:21 - 0:02:25, nó nhìn như thế nào thì đây là hai cái
0:02:22 - 0:02:29, cách chính để giúp cho chúng ta có thể
0:02:25 - 0:02:29, trực quan hóa một cái mạng CNN
0:02:30 - 0:02:36, rồi thì ở đây có các cái nhà khoa học họ
0:02:33 - 0:02:38, đã tạo ra một cái công cụ đó là dis
0:02:36 - 0:02:40, visualization toolbox thì chúng ta có
0:02:38 - 0:02:42, thể gõ với cái từ khóa là de
0:02:40 - 0:02:45, visualization toolbox như ở trên và nó
0:02:42 - 0:02:48, sẽ ra cái video đầu tiên với cái video
0:02:45 - 0:02:50, đầu tiên này thì chúng ta sẽ cùng quan
0:02:48 - 0:02:52, sát xem là các cái tác giả họ đã tiến
0:02:50 - 0:02:55, hành trực quan hóa như thế nào thì đây
0:02:52 - 0:02:56, là tên của cái công trình nghiên cứu của
0:02:55 - 0:03:00, các cái tác giả làm về diff
0:02:56 - 0:03:00, visualization TOB
0:03:02 - 0:03:08, rồi thì chúng ta sẽ xem qua cái giao
0:03:05 - 0:03:11, diện Chúng ta sẽ cùng Xem qua cái giao
0:03:08 - 0:03:13, diện của cái ứng dụng này ha đầu tiên ở
0:03:11 - 0:03:16, phía trên bên tay trái đó chính là cái
0:03:13 - 0:03:19, tấm ảnh đầu vào của cái mạng CNN đây
0:03:16 - 0:03:21, chính là cái ảnh màu và các tác giả đã
0:03:19 - 0:03:24, thiết kế cái chương trình để cho phép là
0:03:21 - 0:03:26, chúng ta có thể truyền vào cái ảnh tỉnh
0:03:24 - 0:03:28, hoặc là chúng ta có thể truyền vào một
0:03:26 - 0:03:31, cái đoạn video thì khi mà chúng ta đưa
0:03:28 - 0:03:34, vào cái video thì chúng ta sẽ quan sát
0:03:31 - 0:03:36, xem cái feature Mark nó sẽ biến đổi như
0:03:34 - 0:03:39, thế nào trong suốt quá trình mà chúng ta
0:03:36 - 0:03:41, chuyển động ở bên trong cái video rồi ở
0:03:39 - 0:03:44, phía trên thì chúng ta sẽ thấy là có các
0:03:41 - 0:03:48, cái lớp biến đổi ví dụ như là conion
0:03:44 - 0:03:52, pooling naline conion số 2 và conion số
0:03:48 - 0:03:55, 3 com số 5 rồi các cái lớp biến đổi là
0:03:52 - 0:03:56, FC và lớp cuối cùng là shm để tạo ra các
0:03:55 - 0:03:59, cái phân bố xác suất
0:03:56 - 0:04:03, probability thì ở đây người ta đang
0:03:59 - 0:04:05, Focus vào cái lớp convolution số 1 và
0:04:03 - 0:04:08, nhìn vào cái hình này thì các bạn có thể
0:04:05 - 0:04:12, đoán ra xem cái feature map Sau khi thực
0:04:08 - 0:04:15, hiện cái l convolution số 1 đó là có độ
0:04:12 - 0:04:20, sâu là bao nhiêu các bạn thử tính toán
0:04:15 - 0:04:23, xem rồi thì chúng ta để ý ha là xét trên
0:04:20 - 0:04:26, hàng nè thì chúng ta có 3 nè 6 nè 9 10
0:04:23 - 0:04:29, như vậy là ở trên hàng này có 10 10 cái
0:04:26 - 0:04:32, ô tương ứng là 10 cái lá cắt còn theo
0:04:29 - 0:04:35, chiều dọc thì chúng ta có 3 nè 6 nè 9
0:04:32 - 0:04:39, như vậy là nguyên cái khối này là có 10
0:04:35 - 0:04:43, x 9 tức là 90 cái lá cắt cộng thêm 36
0:04:39 - 0:04:45, tức là s cái feature map Ở phía cuối nữa
0:04:43 - 0:04:48, Như vậy là tổng chúng ta sẽ có là 96 như
0:04:45 - 0:04:51, vậy là cái lớp feature map đầu tiên cái
0:04:48 - 0:04:53, lớp feature map đầu tiên đó chính là có
0:04:51 - 0:04:56, 96 cái lá
0:04:53 - 0:04:59, cắt rồi và chúng ta sẽ nhìn vô cái hình
0:04:56 - 0:05:00, thù của các cái cái lá cắt này nó như
0:04:59 - 0:05:03, thế nào
0:05:00 - 0:05:06, ha Thì ở đây chúng ta sẽ nhìn vô đâu đó
0:05:03 - 0:05:08, chúng ta thể đoán được hình Giáng của
0:05:06 - 0:05:11, của cái đối tượng trên cảnh góc Ví dụ ở
0:05:08 - 0:05:12, đây chúng ta thấy có ngựa vằng thì ở
0:05:11 - 0:05:15, trên cái feature map các bạn cũng thể
0:05:12 - 0:05:16, thấy đâu đó có cái bóng dáng của cái đối
0:05:15 - 0:05:19, tượng chính của mình đó là cái con ngựa
0:05:16 - 0:05:21, vàng nhưng mà đương nhiên là ở đây mình
0:05:19 - 0:05:23, đoán trước khi mình thấy được cái ảnh đồ
0:05:21 - 0:05:23, vào
0:05:23 - 0:05:28, thôi và khi thay đổi các cái hình này
0:05:26 - 0:05:31, thì cái feature map X của mình sẽ thay
0:05:28 - 0:05:31, đổi
0:05:32 - 0:05:38, rồi bây giờ s đến một cái phần rất là
