0:00:01 - 0:00:15, [âm nhạc]
0:00:13 - 0:00:18, trong phần tiếp theo thì chúng ta sẽ cài
0:00:15 - 0:00:20, đặt một cái mạng cional Network và tập
0:00:18 - 0:00:22, dữ liệu mà chúng ta sẽ sử dụng ở đây
0:00:20 - 0:00:24, chính là tập dữ liệu mnis thì đây là một
0:00:22 - 0:00:26, trong những tập dữ liệu rất là kinh điển
0:00:24 - 0:00:29, khi làm trong lĩnh vực về thị giác máy
0:00:26 - 0:00:32, tính ảnh đầu vào của cái tập dữ liệu này
0:00:29 - 0:00:34, sẽ có cái thức là 28 nhân cho 28 đúng
0:00:32 - 0:00:37, bằng cái kích thức ở đây và cái kiến
0:00:34 - 0:00:39, trúc mạng CNN ở đây thì chúng ta sẽ sử
0:00:37 - 0:00:42, dụng đó là kiến trúc mạng lenet được có
0:00:39 - 0:00:44, từ những năm 1998 và kiến trúc mạng này
0:00:42 - 0:00:46, Thực sự mà nó cũng không có sâu nó chỉ
0:00:44 - 0:00:49, bao gồm hai cái nướ convolution và hai
0:00:46 - 0:00:52, lớp convolution này thì có sử dụng các
0:00:49 - 0:00:55, cái futter có kích thước là 3 x 3 và đối
0:00:52 - 0:00:58, với cái lớp convolution đầu tiên thì chỉ
0:00:55 - 0:01:01, có sáu cái phép conclusion sáu cái
0:00:58 - 0:01:05, futter đối V lớp contion thứ hai thì sẽ
0:01:01 - 0:01:08, có cái kích thước đó là 3 x 3 nhân cho 6
0:01:05 - 0:01:11, tại vì cái đầu vào của cái lớp conion
0:01:08 - 0:01:13, này chính là cái feature map này mà
0:01:11 - 0:01:16, feature map này có cái dep là bằng 6 do
0:01:13 - 0:01:17, đó ở đây sẽ là là 6 Tuy nhiên thì trong
0:01:16 - 0:01:19, quá trình mà chúng ta cài đặt thì chúng
0:01:17 - 0:01:22, ta cũng không cần phải chỉ ra tường minh
0:01:19 - 0:01:25, là cái số input của mình là bao nhiêu tự
0:01:22 - 0:01:26, cái chương trình nó sẽ tự cái deeping
0:01:25 - 0:01:28, Framework nó sẽ tính cho mình cái con số
0:01:26 - 0:01:30, này chúng ta chỉ cần cho biết cái kích
0:01:28 - 0:01:33, thước bề ngang bề cao của cái filter và
0:01:30 - 0:01:35, được và đồng thời chúng ta cũng cho cái
0:01:33 - 0:01:37, deing Framework biết số filter đầu ra
0:01:35 - 0:01:40, mong muốn là ở trong cái phép c r
0:01:37 - 0:01:43, conversion thứ hai chính là
0:01:40 - 0:01:45, 16 các cái phép biến đổi subs link ở đây
0:01:43 - 0:01:48, thực chất nó chính là cái phép biến đổi
0:01:45 - 0:01:53, max pooling đây chính là cái phép biến
0:01:48 - 0:01:56, đổi Max pooling rồi và ở phần cuối của
0:01:53 - 0:01:59, mạng CN này đó chính là các cái lớp biến
0:01:56 - 0:02:03, đổi Fully connected để tạo ra các cái
0:01:59 - 0:02:05, vector có kích thước là 120 84 và 10
0:02:03 - 0:02:07, trong đó 10 thì tương ứng với lại cái số
0:02:05 - 0:02:11, lớp đầu ra của mình đó chính là các cái
0:02:07 - 0:02:14, con số từ 0 cho đến 9 vậy thì trong phần
0:02:11 - 0:02:19, tiếp theo chúng ta sẽ tiến hành cài đặt
0:02:14 - 0:02:19, cái mạng cion neuron Network
0:02:23 - 0:02:27, này rồi
0:02:31 - 0:02:37, thì bước đầu tiên thì chúng ta sẽ khởi
0:02:34 - 0:02:40, tạo các cái tập dataset của mình thì
0:02:37 - 0:02:44, trong cái keras nó đã có cái phương thức
0:02:40 - 0:02:47, giúp cho mình Ờ load cái dataset rất là
0:02:44 - 0:02:50, dễ dàng đó là keras dataset và chúng ta
0:02:47 - 0:02:52, sẽ import cái tập dữ liệu là mnis à Sau
0:02:50 - 0:02:54, đó chúng ta chỉ việc gọi là mnis load
0:02:52 - 0:02:57, data thì tự động nó sẽ lấy từ trên mạng
0:02:54 - 0:03:01, internet về giải nén và đưa vào các cái
0:02:57 - 0:03:03, cặp biến là extrain eend và EX et đó thì
0:03:01 - 0:03:05, ở đây chúng ta sẽ quan sát thử kích
0:03:03 - 0:03:08, thước của các cái biến này
0:03:05 - 0:03:12, xend chấm SH thì có kích thước là 60.000
0:03:08 - 0:03:16, nhân cho 28 x 28 thì 60.000 này tương
0:03:12 - 0:03:17, ứng là tổng số mẫ còn 28 x 28 đó chính
0:03:16 - 0:03:20, là cái kích thước bề ngang và bề cao của
0:03:17 - 0:03:23, cái ảnh chữ số viết tay
0:03:20 - 0:03:26, ets thì nó sẽ có kích thước là 60.000
0:03:23 - 0:03:30, thì ứng với từng cái xra nó sẽ có một
0:03:26 - 0:03:34, cái giá trị label cái nhãn output
0:03:30 - 0:03:36, của et đó thì ở đây chúng ta sẽ thử quan
0:03:34 - 0:03:38, sát một số cái mẫu dữ liệu để quan sát
0:03:36 - 0:03:40, thì chúng ta sẽ sử dụng thư viện đó là
0:03:38 - 0:03:42, mli
0:03:40 - 0:03:49, m.
0:03:42 - 0:03:50, tyel as plp rồi plt ch chúng ta sẽ sử
0:03:49 - 0:03:56, dụng cái hàm đó là
0:03:50 - 0:03:59, Imo hàm Ino với cái biến là x và x này á
0:03:56 - 0:04:03, thì nó có các cái phần thc cái chiều đó
0:03:59 - 0:04:05, là 60.000 nh 28 x 28 thì ở chiều đầu
0:04:03 - 0:04:07, tiên chúng ta sẽ lấy ra tại một cái vị
0:04:05 - 0:04:09, trí nào đó đó là Index và trong trường
0:04:07 - 0:04:12, hợp này thì chúng ta sẽ cho Index là
0:04:09 - 0:04:17, bằng 123 cái con số bất kỳ trong khoảng
0:04:12 - 0:04:19, từ 1 từ 0 cho đến 60.000 rồi à thành
0:04:17 - 0:04:21, phần còn lại thì sẽ là hai chấm hai chấm
0:04:19 - 0:04:23, tức là chúng ta sẽ lấy toàn bộ Cái nội
0:04:21 - 0:04:25, dung của Tấm ảnh ra để chúng ta hiển thị
0:04:23 - 0:04:28, rồi sau đó chúng ta sẽ thực hiện thì
0:04:25 - 0:04:30, thấy là cái ảnh này mình đoán đoán đó
0:04:28 - 0:04:32, hình như là số 7 thì muốn biết chính xác
0:04:30 - 0:04:35, nó là nhãn bao nhiêu thì chúng ta sẽ in
0:04:32 - 0:04:37, ra là à
0:04:35 - 0:04:42, nhãn của dữ
0:04:37 - 0:04:44, liệu đó rồi Ở đây chúng ta sẽ lấy là y
0:04:42 - 0:04:45, tr và chúng ta cũng sẽ truyền vào cái
0:04:44 - 0:04:49, chỉ số là
0:04:45 - 0:04:51, YX rồi Đúng như dự đoán thì cái nhãn này
0:04:49 - 0:04:54, chính là nhãn của dữ liệu này chính là
0:04:51 - 0:04:57, số 7 và chúng ta có thể thay đổi các cái
0:04:54 - 0:04:58, chỉ số này ví dụ như là
0:04:57 - 0:05:01, 10.000
0:04:58 - 0:05:05, rồi đó thì đây là tương ứng nhãn của nó
0:05:01 - 0:05:07, sẽ là số 3 bước tiếp theo đó là chúng ta
0:05:05 - 0:05:10, sẽ tền xử lý chúng ta sẽ chuẩn hóa cái
0:05:07 - 0:05:12, dữ liệu extrain và ext của mình bằng
0:05:10 - 0:05:14, cách đó là thay vì đưa cái miền giá trị
0:05:12 - 0:05:17, từ 0 đến 255 thì chúng ta sẽ đưa về cái
0:05:14 - 0:05:19, miền giá trị là từ 0 cho đến 1 để giúp
0:05:17 - 0:05:22, cho cái quá trình huấn luyện nó được
0:05:19 - 0:05:25, nhanh hơn và đồng thời là cái giá trị y
0:05:22 - 0:05:28, của mình cũng sẽ được à chuyển đổi từ
0:05:25 - 0:05:31, cái dạng Nhãn là các chỉ số từ 0 cho đến
0:05:28 - 0:05:35, 9 chúng ta sẽ đưa nó về cái dạng One h
0:05:31 - 0:05:37, encoding cái dạng One h encoding thì One
0:05:35 - 0:05:40, h encoding có nghĩa là gì à là ví dụ số
0:05:37 - 0:05:42, 0 thì chúng ta sẽ đưa một cái vector
0:05:40 - 0:05:45, trong đó có duy nhất một cái phần tử bật
0:05:42 - 0:05:46, lên là là 1 và tất cả các cái phần tử
0:05:45 - 0:05:51, còn lại sẽ để là số
0:05:46 - 0:05:54, 0 r tương tự như vậy cho số 2 đi thì nó
0:05:51 - 0:05:56, sẽ bật lên là 0 ở đây là 0 ở đây là 0 và
0:05:54 - 0:05:59, nó sẽ bật lên Ở Đây Rồi tất cả các cái
0:05:56 - 0:06:01, phần tử còn lại sẽ để ra số 0 đó thì đây
0:05:59 - 0:06:04, là cái dạng on Hot and
0:06:01 - 0:06:07, coding rồi Bước tiếp theo đó là chúng ta
0:06:04 - 0:06:08, sẽ tiến hành cài đặt cái thực toán huấn
0:06:07 - 0:06:11, luyện hay cụ thể đó là cài đặt cái mô
0:06:08 - 0:06:14, hình thì cái mạng CNN ở đây chúng ta sẽ
0:06:11 - 0:06:19, có các cái phương thức như là Build
0:06:14 - 0:06:21, rồi train rồi constructor Vân Vân load
0:06:19 - 0:06:25, getway vân vân thì ở đây có cái phương
0:06:21 - 0:06:27, thức getway là chúng ta sẽ chưa cài đặt
0:06:25 - 0:06:30, chúng ta sẽ cài đặt và để đưa lên trên
0:06:27 - 0:06:32, xong hành cùng với lại cái hàm Trend kẹo
0:06:30 - 0:06:35, Chúng ta quên à Xin lỗi chúng ta sẽ đưa
0:06:32 - 0:06:38, lên trên ngang với lại phương thức là
0:06:35 - 0:06:40, build không l chút nữa chúng ta sẽ quên
0:06:38 - 0:06:42, cái quá trình train của mạng CNN rất là
0:06:40 - 0:06:44, lâu nếu mà chúng ta quên thực hiện một
0:06:42 - 0:06:46, cái gì đấy và chúng ta thực hiện lại thì
0:06:44 - 0:06:48, nó sẽ tốn thời gian rất là nhiều thì ở
0:06:46 - 0:06:52, đây chúng ta sẽ phải cho cái model nó
0:06:48 - 0:06:55, biết đó là input dimension rồi đồng thời
0:06:52 - 0:06:59, là các cái cấu hình ví dụ như số lượng
0:06:55 - 0:07:01, futter n là 6 n số lượng futter là 16 nè
0:06:59 - 0:07:05, rồi số các cái
0:07:01 - 0:07:08, output của các lớp poly connected là 120
