0:00:01 - 0:00:13, [âm nhạc]
0:00:17 - 0:00:23, trong phạm vi của môn này thì chúng ta
0:00:19 - 0:00:26, sẽ ôn tập Cái ngôn ngữ lập trình Python
0:00:23 - 0:00:28, Tại vì như đã đề cập thì các bạn chắc là
0:00:26 - 0:00:30, đã học bài thành trong một số cái môn
0:00:28 - 0:00:32, học trước đây hoặc là sử dụng hai thanh
0:00:30 - 0:00:34, như là một trong những cái ngôn ngữ lập
0:00:32 - 0:00:37, trình để làm đồ án của các cái môn học
0:00:34 - 0:00:40, trước đây do đó thì trong môn học này
0:00:37 - 0:00:44, thì chúng ta chỉ ôn tập
0:00:40 - 0:00:47, đầu tiên thì chúng ta sẽ nói sơ qua một
0:00:44 - 0:00:49, vài cái tính chất của bài văn đó là một
0:00:47 - 0:00:52, cái ngôn ngữ bậc cao hay level
0:00:49 - 0:00:54, promin language Nó là một cái trình
0:00:52 - 0:00:57, thông dịch hay còn gọi là một cái
0:00:54 - 0:00:59, interpretter Và nó có cái tính đa năng
0:00:57 - 0:01:00, thì như đã đề cập
0:00:59 - 0:01:02, khai thông có thể lập trình ứng dụng
0:01:00 - 0:01:05, hoàn toàn có thể lập trình máy học Võ
0:01:02 - 0:01:08, Trường An Ninh aii thân có thể làm trong
0:01:05 - 0:01:11, lĩnh vực về dữ liệu lớn
0:01:08 - 0:01:13, thì nó rất là đa năng và một cái điều
0:01:11 - 0:01:14, quan trọng nữa đó là Titan hỗ trợ Lập
0:01:13 - 0:01:16, trình hướng đối tượng Đây là một trong
0:01:14 - 0:01:18, những cái phong cách lập trình phổ biến
0:01:16 - 0:01:21, được các kết lập trình viên trên thế
0:01:18 - 0:01:23, giới sử dụng và cái tư tưởng Lập trình
0:01:21 - 0:01:25, hướng đối tượng sẽ giúp cho lập trình
0:01:23 - 0:01:27, viên có thể tiếp cận đến các ngôn ngữ
0:01:25 - 0:01:31, này một cách dễ dàng
0:01:27 - 0:01:34, thì tốt những cái lý do tại sao chúng ta
0:01:31 - 0:01:38, nên học bài thân thì thứ nhất Đây là một
0:01:34 - 0:01:41, ngôn ngữ rất là đơn giản thứ hai đó là
0:01:38 - 0:01:45, rõ ràng giúp nhập vào cái thứ ba đó là
0:01:41 - 0:01:47, một ngôn ngữ dễ học và cái thứ tư rất là
0:01:45 - 0:01:49, quan trọng đó là Python có cộng đồng rất
0:01:47 - 0:01:52, là lớn thì như chúng ta đã nói trong sai
0:01:49 - 0:01:55, trước Python có từ không phải từ gần đây
0:01:52 - 0:01:57, mà nó đã có từ hàng chục năm về trước Do
0:01:55 - 0:01:59, đó khi Cộng đồng phát triển cái cộng
0:01:57 - 0:02:01, đồng sử dụng ngôn ngữ thời thanh cũng
0:01:59 - 0:02:02, rất là nhiều do đó thì những cái mẹo
0:02:01 - 0:02:05, những cái lỗi trong quá trình sử dụng
0:02:02 - 0:02:08, tại thành sẽ được cộng đồng chia sẻ để
0:02:05 - 0:02:11, cho chúng ta có thể kế thừa
0:02:08 - 0:02:11, thì
0:02:11 - 0:02:16, thư viện cây thân cũng chính vì cái lịch
0:02:13 - 0:02:18, sử phát triển rất là lâu đời như vậy thì
0:02:16 - 0:02:21, typon nó cũng có rất nhiều những cái thư
0:02:18 - 0:02:24, viện đi kèm hỗ trợ Ví dụ như và nó sẽ có
0:02:21 - 0:02:26, suy thoon nó sẽ có sai kittle sẽ là cái
0:02:24 - 0:02:29, thư viện chủng chính trong cái mô này
0:02:26 - 0:02:32, ngoài ra thì nó cũng có thư viện như là
0:02:29 - 0:02:35, xử lý tính toán số học người ta hay rồi
0:02:32 - 0:02:38, thư viện mắt Please để Trực Quan Hóa thì
0:02:35 - 0:02:40, đây là các cái thư viện rất là kinh điển
0:02:38 - 0:02:43, trong bài thơ
0:02:40 - 0:02:47, và những gã khổng lồ nào đang sử dụng
0:02:43 - 0:02:50, vải Thanh thì chúng ta thấy các cái ngôn
