0:00:01 - 0:00:13, [âm nhạc]
0:00:13 - 0:00:19, Chào mừng các bạn đến với môn học cs116
0:00:16 - 0:00:22, lập trình 3 thành cho máy học hôm nay
0:00:19 - 0:00:24, chúng ta sẽ đến với bài mở đầu thì tôi
0:00:22 - 0:00:26, xin tự giới thiệu Tôi tên là Nguyễn Văn
0:00:24 - 0:00:27, Thiệu hiện đang là trưởng phòng thí
0:00:26 - 0:00:29, nghiệm truyền thông đa phương tiện Đại
0:00:27 - 0:00:31, học Công Nghệ Thông Tin Đại học Quốc gia
0:00:29 - 0:00:34, thành phố Hồ Chí Minh và nội dung của
0:00:31 - 0:00:37, ngày hôm nay thì chúng ta sẽ tìm hiểu về
0:00:34 - 0:00:41, các cái nội dung chính trong cái môn học
0:00:37 - 0:00:43, này sau đó thì chúng ta sẽ lược qua một
0:00:41 - 0:00:46, số lịch sử và thành tựu của máy học và
0:00:43 - 0:00:48, cuối cùng đó là chúng ta sẽ giới thiệu
0:00:46 - 0:00:49, về cái ngôn ngữ lập trình bản thân thật
0:00:48 - 0:00:53, ra không phải là giới thiệu mà chúng ta
0:00:49 - 0:00:56, sẽ là ôn tập tại vì cái ngôn ngữ lập
0:00:53 - 0:00:59, trình Python các bạn chắc đã cũng đã
0:00:56 - 0:01:02, từng học trong một số cái môn học trước
0:00:59 - 0:01:03, đây cũng như là có thể sử dụng nó như là
0:01:02 - 0:01:07, một cái thành phần quan trọng trong cái
0:01:03 - 0:01:07, đồ án môn học của các bạn về
0:01:08 - 0:01:13, nội dung của khóa học này thì khóa học
0:01:10 - 0:01:17, này sẽ diễn ra trong vòng 15 tuần
0:01:13 - 0:01:21, và sau đây sẽ là nội dung của các cái
0:01:17 - 0:01:24, kiến thức mà mình chúng ta sẽ được
0:01:21 - 0:01:26, thảo luận trong cái môn học này đầu tiên
0:01:24 - 0:01:29, đó là tuần Số 1 thì chúng ta sẽ giới
0:01:26 - 0:01:31, thiệu môn học và lược 3 lịch sử rồi ôn
0:01:29 - 0:01:33, tập ngôn ngữ với thân như đã đề cập
0:01:31 - 0:01:37, trước đây tiếp theo tuần thứ hai chúng
0:01:33 - 0:01:42, ta sẽ học về hai cái thư viện rất là phổ
0:01:37 - 0:01:44, biến và nổi tiếng của Python Đó là thư
0:01:42 - 0:01:47, viện 52 và
0:01:44 - 0:01:51, Marketing là một cái thư viện Giúp cho
0:01:47 - 0:01:53, chúng ta có thể lập trình tính toán trên
0:01:51 - 0:01:55, các cái công cụ sử dụng các cái công cụ
0:01:53 - 0:01:59, của đại số tuyến tính
0:01:55 - 0:02:01, là một trong những cái thư viện Rất là
0:01:59 - 0:02:04, nổi tiếng để mà giúp cho chúng ta trực
0:02:01 - 0:02:07, quan hóa dữ liệu thì đây sẽ là hai cái
0:02:04 - 0:02:09, thư viện hai cái công cụ sẽ đi xuyên
0:02:07 - 0:02:10, suốt với chúng ta bạn đăng ký môn học
0:02:09 - 0:02:13, này
0:02:10 - 0:02:16, bên cạnh đó thì chúng ta sẽ còn một cái
0:02:13 - 0:02:19, thư viện nữa Tuy nhiên thì cái thư viện
0:02:16 - 0:02:21, này nó tên là secrit lên
0:02:19 - 0:02:23, cái thư viện này nó sẽ đi xuyên suốt
0:02:21 - 0:02:26, trong toàn bộ những cái tuần số 3 và số
0:02:23 - 0:02:30, 4 cho đến hết do đó thì chúng ta sẽ
0:02:26 - 0:02:31, không có cái phần ôn tập này mà chúng ta
0:02:30 - 0:02:33, sẽ sử dụng nó như là một cái công cụ
0:02:31 - 0:02:38, chính cho cái môn học còn các cái thư
0:02:33 - 0:02:38, viện như là 52 và max 4x là nền tảng
0:02:38 - 0:02:44, thứ ba thì chúng ta sẽ tiến hành tìm
0:02:42 - 0:02:47, hiểu về một cái quy trình xây dựng một
0:02:44 - 0:02:49, cái mô hình máy học như thế nào nó sẽ
0:02:47 - 0:02:52, gồm các cái bước thực hiện như thế nào
0:02:49 - 0:02:55, tuần thứ tư thì chúng ta sẽ được học về
0:02:52 - 0:02:58, các cái kỹ thuật về tiền xử lý dữ liệu
0:02:55 - 0:02:59, đó là cái bước đầu tiên bạn đánh giá một
0:02:58 - 0:03:02, cái mô hình mới học đó là cái bước cuối
0:02:59 - 0:03:04, cùng sang các cái tuần tiếp theo như là
0:03:02 - 0:03:07, Tuần 5 Tuần 6 cho đến cả tuần tiếp theo
0:03:04 - 0:03:08, thì chúng ta sẽ học về các cái mô hình
0:03:07 - 0:03:10, máy
0:03:08 - 0:03:11, ví dụ như là mô hình máy học không giám
0:03:10 - 0:03:14, sát
0:03:11 - 0:03:17, tuần 7 cho đến tuần 10 thì chúng ta sẽ
0:03:14 - 0:03:20, học về các cái mô hình có giám sát tuần
0:03:17 - 0:03:24, 11 cho đến tuần 12 thì chúng ta sẽ tìm
0:03:20 - 0:03:27, cách tối ưu cái siêu tham số tuần thứ 13
0:03:24 - 0:03:32, thì chúng ta sẽ tiến hành đó là
