0:00:01 - 0:00:13, [âm nhạc]
0:00:14 - 0:00:19, Hôm nay chúng ta sẽ đến với bài học thứ
0:00:15 - 0:00:22, tư đó là tìm xử lý dữ liệu thì về vị trí
0:00:19 - 0:00:25, của bài học này đó là nó nằm ở cái bước
0:00:22 - 0:00:28, gọi là data reprocessing Đây là một cái
0:00:25 - 0:00:30, bước mà trước khi chúng ta tiến hành
0:00:28 - 0:00:32, huấn luyện cái mô hình đây có thể nói là
0:00:30 - 0:00:34, một trong những cái bước cực kỳ quan
0:00:32 - 0:00:38, trọng Tại vì chúng ta có cái câu đó là
0:00:34 - 0:00:39, Gage in Gage out Tức là tất cả các cái
0:00:38 - 0:00:42, mô hình máy học của mình nếu như chúng
0:00:39 - 0:00:44, ta đưa những cái dữ liệu rác vào bên
0:00:42 - 0:00:46, trong cái mô hình thì cho dù cái mô hình
0:00:44 - 0:00:48, của mình có tốt như thế nào đ chăng nữa
0:00:46 - 0:00:50, thì cái hiệu suất của nó cũng sẽ bị giảm
0:00:48 - 0:00:54, nếu như cái dữ liệu của mình đưa vào
0:00:50 - 0:00:56, không được tiền xử lý cẩn thận và cái
0:00:54 - 0:00:59, nội dung chính của chúng ta sẽ bao gồm
0:00:56 - 0:01:01, năm phần sau đây ở hai phần đầu tiên thì
0:00:59 - 0:01:04, nó liên liên quan đến cái việc là chúng
0:01:01 - 0:01:06, ta làm sạch dữ liệu trên cái dữ liệu thô
0:01:04 - 0:01:09, đầu vào của mình sau khi đã thực hiện
0:01:06 - 0:01:12, xong cái bước là data validation thì
0:01:09 - 0:01:15, chúng ta sẽ phải phát hiện và xử lý
0:01:12 - 0:01:16, những cái dữ liệu mà bị thiếu rồi chúng
0:01:15 - 0:01:19, ta sẽ phát hiện và xử lý những cái
0:01:16 - 0:01:21, trường hợp dữ liệu bị ngoại lệ dữ liệu
0:01:19 - 0:01:24, ngoại lệ thì nó sẽ khác với lại dữ liệu
0:01:21 - 0:01:26, bị thiếu ở chỗ đó là các cái giá trị của
0:01:24 - 0:01:28, mình nó vẫn được điền đầy đủ Tuy nhiên
0:01:26 - 0:01:30, nếu xét trong cái phân bố của cái dữ
0:01:28 - 0:01:33, liệu của mình thì thì các cái giá trị
0:01:30 - 0:01:36, này nó có những cái đặc điểm là nó nằm
0:01:33 - 0:01:39, bên ngoài cái phạm vi tập trung Ờ Đông
0:01:36 - 0:01:41, tập trung dày đặc của dữ liệu Tức là nó
0:01:39 - 0:01:44, nằm ngoài cái phạm vi của dữ liệu của
0:01:41 - 0:01:46, mình rất là nhiều đó thì chúng ta sẽ tìm
0:01:44 - 0:01:50, cách phát hiện và sử lý cho những cái
0:01:46 - 0:01:52, loại giá trị như vậy và ba bước cuối thì
0:01:50 - 0:01:55, nó liên quan đến một cái từ khóa đó là
0:01:52 - 0:01:58, đặc trưng tạo đặc trưng biến đổi đặc
0:01:55 - 0:02:01, trưng và lựa chọn đặc trưng thì ở đây
0:01:58 - 0:02:03, cái khái niệm đặc trưng nó cũng chính là
0:02:01 - 0:02:07, dữ liệu của mình tuy nhiên nó ở cái cấp
0:02:03 - 0:02:10, độ cao hơn và nó là những cái mà chúng
0:02:07 - 0:02:13, ta chuẩn bị để đưa vào cho mô hình hóa
0:02:10 - 0:02:15, học thì đặc trưng sẽ là ba cái bước Ờ ba
0:02:13 - 0:02:16, cái bước cuối cùng chính là ba bước
0:02:15 - 0:02:18, chúng ta thao tác trên đặc trưng để
0:02:16 - 0:02:21, chuẩn bị đưa vào cho một cái mô hình máy
0:02:18 - 0:02:24, học đầu tiên thì chúng ta sẽ đến với
