0:00:01 - 0:00:15, [âm nhạc]
0:00:13 - 0:00:18, trong bài hôm nay thì chúng ta sẽ cùng
0:00:15 - 0:00:21, tìm hiểu về một số cái phương pháp tin
0:00:18 - 0:00:24, chỉnh tham số hay còn gọi là parameter
0:00:21 - 0:00:26, tuning vị trí của bài hôm nay thì đây là
0:00:24 - 0:00:30, cái machine learning pipeline mà chúng
0:00:26 - 0:00:33, ta đã biết ở trong những bài đầu tiên và
0:00:30 - 0:00:36, tin chỉnh tham số thì nó sẽ bao gồm hai
0:00:33 - 0:00:39, cái module đó là modle Training và modu
0:00:36 - 0:00:42, Evaluation nghĩa là chúng ta sẽ phải
0:00:39 - 0:00:45, điều chỉnh các cái tham số của mô hình
0:00:42 - 0:00:48, để làm sao đó cho cái mô hình của mình
0:00:45 - 0:00:49, đạt được những cái độ chính xác cao nhất
0:00:48 - 0:00:52, có
0:00:49 - 0:00:54, thể thì nội dung của bài hôm nay sẽ gồm
0:00:52 - 0:00:57, các cái phần đó là tại sao chúng ta cần
0:00:54 - 0:01:00, phải tinh chỉnh tham số một số phương
0:00:57 - 0:01:02, pháp tin chỉnh tham số phổ biến Ví dụ
0:01:00 - 0:01:05, như phương pháp research Tìm kiếm theo
0:01:02 - 0:01:07, kiểu cái cạn phương pháp random search
0:01:05 - 0:01:10, tức là chúng ta sẽ tìm kiếm theo kiểu
0:01:07 - 0:01:12, ngẫu nhiên và phương pháp bation
0:01:10 - 0:01:18, optimization cố yêu hóa
0:01:12 - 0:01:21, PS đối với cái phần Tại sao chúng ta cần
0:01:18 - 0:01:23, phải tiến hành gọi là tin chỉnh tham số
0:01:21 - 0:01:26, thì đầu tiên chúng ta sẽ phải hiểu cái
0:01:23 - 0:01:30, khái niệm tham số trong cái mô hình máy
0:01:26 - 0:01:33, học đó là gì tham số trong mô hình
0:01:30 - 0:01:37, đó là tên tiếng Anh là parameter thì đây
0:01:33 - 0:01:41, là các cái biến số mà mô hình học được
0:01:37 - 0:01:44, mà mô hình học từ dữ liệu một nó sẽ học
0:01:41 - 0:01:47, được từ dữ liệu huấn luyện thế thì chúng
0:01:44 - 0:01:49, ta xét một cái ví dụ là cái mạng neuro
0:01:47 - 0:01:51, Network như sau ha chúng ta sẽ xét một
0:01:49 - 0:01:53, cái mạng neuro Network thì trong cái
0:01:51 - 0:01:56, mạng neuro Network thì tham số mô hình
0:01:53 - 0:02:00, tham số mô hình của mạng neuro Network
0:01:56 - 0:02:03, nó sẽ là các cái trọng số
0:02:00 - 0:02:05, của các cái cạnh nối từ cái lớp trước đó
0:02:03 - 0:02:08, cho đến cái lớp hiện
0:02:05 - 0:02:13, tại ví dụ trọng số của các cái cảnh nối
0:02:08 - 0:02:15, này sẽ là cái tham số của mô hình và các
0:02:13 - 0:02:17, cái tham số này thì nó sẽ được cập nhật
0:02:15 - 0:02:19, thường xuyên trong cái quá trình huấn
0:02:17 - 0:02:22, luyện và chúng ta sẽ fit cái dữ liệu đầu
0:02:19 - 0:02:26, vào X và chúng ta sẽ So sánh cái này với
0:02:22 - 0:02:29, lại cái dữ liệu thực tế y thì chúng ta
0:02:26 - 0:02:32, sẽ tìm ra được là các cái tham số của mô
0:02:29 - 0:02:35, h như thế nào để cho nó tối ưu nhất để
0:02:32 - 0:02:36, cho cái giá trị đầu ra của mình nó sắp
0:02:35 - 0:02:39, xỉ với lại cái giá trị Dự
0:02:36 - 0:02:41, đoán cái giá trị Dự Đán nó xắp xỉ với
0:02:39 - 0:02:45, lại cái giá trị thực tế
0:02:41 - 0:02:48, nhất còn một cái loại tham số nữa đó
0:02:45 - 0:02:51, chính là siêu tham số hay còn gọi là
0:02:48 - 0:02:54, hyper parameter thì đây là cái tham số
0:02:51 - 0:02:57, nó quy định cái cấu hình của mô hình
0:02:54 - 0:02:59, trước khi huấn luyện nghĩa là sao ví dụ
0:02:57 - 0:03:02, trong cái mạng nuro Network thì chúng
0:02:59 - 0:03:04, chúng ta sẽ thấy là có các cái hidden
0:03:02 - 0:03:08, layer tức là các cái lớp
0:03:04 - 0:03:11, ẩn thế thì ở đây chúng ta sẽ cấu hình
0:03:08 - 0:03:13, cái mạng này trong cái hình ví dụ này
0:03:11 - 0:03:16, thì chúng ta sẽ cấu hình đó là có các
0:03:13 - 0:03:18, cái layer có bao nhiêu lớp ẩn Ví dụ như
0:03:16 - 0:03:21, trong hình này chúng ta có một lớp ẩn
0:03:18 - 0:03:25, hai lớp ẩn và ba lớp ẩn như vậy là số
0:03:21 - 0:03:28, lượng layer chính là một cái siêu tham
0:03:25 - 0:03:30, số nếu chúng ta thay đổi cái cấu hình
0:03:28 - 0:03:32, của cái hyper parameter này thì có thể
0:03:30 - 0:03:35, tăng lên là BN tham số BN layer và có
0:03:32 - 0:03:38, thể giảm xuống là chỉ có một cái hiden
0:03:35 - 0:03:41, layer thôi một cái tham số thứ hai đó
0:03:38 - 0:03:43, chính là số neuron cho một layer ví dụ
0:03:41 - 0:03:47, trong hình này chúng ta sẽ thấy là có 1
0:03:43 - 0:03:50, neuron nè 2 neuron 3 neuron 4 neuron như
