0:00:01 - 0:00:15, [âm nhạc]
0:00:13 - 0:00:18, trong phần tiếp theo thì chúng ta sẽ
0:00:15 - 0:00:21, cùng đến với cái phần cài đặt mô hình
0:00:18 - 0:00:24, linear regression sử dụng thư viện s l
0:00:21 - 0:00:26, thì bước đầu tiên đó là chúng ta sẽ cùng
0:00:24 - 0:00:28, tạo sinh ra các cái dữ liệu mẫu thì ở
0:00:26 - 0:00:31, đây chúng ta đã chuẩn bị sẵn một cái
0:00:28 - 0:00:35, chương trình để tạo ra các cái dữ liệu
0:00:31 - 0:00:39, trong đó x sẽ là các cái giá trị lấy mẫ
0:00:35 - 0:00:45, từ 1 cho đến số nhỏ hơn 10 và bước nhảy
0:00:39 - 0:00:49, là 0.5 tức là x sẽ là bằng 1 1,5 2 2,5
0:00:45 - 0:00:51, vân vân cho đến 9,5 và chúng ta sẽ có
0:00:49 - 0:00:54, thêm một cái đại lượng nữa đó là noise
0:00:51 - 0:00:57, thì cái noise này nó sẽ có kích thước
0:00:54 - 0:01:00, đúng bằng cái xf Tức là cái số phần tử
0:00:57 - 0:01:03, của X ở đây noise này thì nó đại diện
0:01:00 - 0:01:05, cho những cái phần ờ sai số trong quá
0:01:03 - 0:01:09, trình mà chúng ta đo lường cái dữ liệu
0:01:05 - 0:01:10, của mình khi trong thực tế và y thì sẽ
0:01:09 - 0:01:14, là có cái công thức ở đây chúng ta sẽ
0:01:10 - 0:01:17, cho trước một cái hàm phương trình là y
0:01:14 - 0:01:21, = -6x + 10 và chúng ta sẽ cộng thêm cho
0:01:17 - 0:01:23, một cái sii số noise theo cái nhiễu à
0:01:21 - 0:01:26, tuân theo cái phân bố đó là phân bố
0:01:23 - 0:01:28, chuẩn và sau đó thì chúng ta sẽ tiến
0:01:26 - 0:01:32, hành vẽ các cái cặp điểm x và y lên trên
0:01:28 - 0:01:36, cái ờ sơ đồ của mình bằng thư viện
0:01:32 - 0:01:38, MP rồi thì chúng ta thấy ở đây là sẽ có
0:01:36 - 0:01:41, các cái điểm là các cái size số của mình
0:01:38 - 0:01:44, thì chúng ta có thể generate ra nhiều
0:01:41 - 0:01:46, lần thì muốn cho cái noise này á mà nó
0:01:44 - 0:01:50, có cái sự dao động lớn hơn thì chúng ta
0:01:46 - 0:01:52, có thể tăng cái biên độ này lên bình
0:01:50 - 0:01:55, thường chúng ta để là noise là 01 bây
0:01:52 - 0:01:57, giờ chúng ta đang có là noise 02 V muốn
0:01:55 - 0:02:00, tăng cái sai số này lên chúng ta có thể
0:01:57 - 0:02:02, cho lên là 5
0:02:00 - 0:02:05, đó thì các bạn sẽ thấy là cái sự dao
0:02:02 - 0:02:09, động xung quanh cái đường thẳng y = -6x
0:02:05 - 0:02:11, + 10 Nó lớn hơn Còn nếu như chúng ta cho
0:02:09 - 0:02:14, cái dao động này là bằng
0:02:11 - 0:02:17, 1 cái độ lệch này bằng 1 thì nó sẽ ít
0:02:14 - 0:02:20, dao động hơn đó thì để cho mô phỏng gần
0:02:17 - 0:02:22, giống với lại cái sai số trong thực tế
0:02:20 - 0:02:25, thì chúng ta sẽ cho cái nhiễu này nó lớn
0:02:22 - 0:02:28, một chút đó thì nó ra cái đường các cái
0:02:25 - 0:02:31, điểm xoay xung quanh cái đường thẳng y
0:02:28 - 0:02:34, bằ -6x x cng 10 thì đây là cái phương
0:02:31 - 0:02:37, trình đúng mà mình sẽ phải tìm cách để
0:02:34 - 0:02:39, đưa ra được cái dự đoán và chúng ta sẽ
0:02:37 - 0:02:42, sử dụng cái mô hình linear regression để
0:02:39 - 0:02:44, chúng ta đoán xem là các cái tham số
0:02:42 - 0:02:47, tương ứng với lại cái X cái biến x và
0:02:44 - 0:02:50, cái bias này là bao nhiêu khi chúng ta
0:02:47 - 0:02:52, đưa vào tập các cái mẫu huấn luyện này
0:02:50 - 0:02:54, đó thì ở đây chúng ta sẽ xem ha X của
0:02:52 - 0:02:57, mình
0:02:54 - 0:03:01, chs rồi Tức là ở đây chúng ta đang có 18
0:02:57 - 0:03:02, mẫu tất cả rồi
0:03:01 - 0:03:06, tiếp theo thì chúng ta sẽ Build cái
0:03:02 - 0:03:08, model sử dụng thư viện ccit l esalon
