0:00:01 - 0:00:16, [âm nhạc]
0:00:13 - 0:00:18, trong các bài Tuần trước thì chúng ta
0:00:16 - 0:00:22, được Tìm hiểu về các cái môa hình học có
0:00:18 - 0:00:24, giám sát trên dữ liệu dạng bản thì trong
0:00:22 - 0:00:26, thời gian gần đây chúng ta được nghe nói
0:00:24 - 0:00:30, rất nhiều về những cái loại dữ liệu như
0:00:26 - 0:00:33, là hình ảnh văn bản và âm thanh và những
0:00:30 - 0:00:35, cái loại dữ liệu này thì để có thể giải
0:00:33 - 0:00:37, quyết và xử lý được thì chúng ta sẽ phải
0:00:35 - 0:00:39, cần những cái mô hình đặc biệt hơn đó
0:00:37 - 0:00:42, chính là các cái mô hình học sâu hay còn
0:00:39 - 0:00:44, gọi là de leing thì trong phạm vi của
0:00:42 - 0:00:46, bài h ngày hôm nay thì chúng ta sẽ cùng
0:00:44 - 0:00:49, tìm hiểu về một trong những kiến trúc
0:00:46 - 0:00:52, mạng rất là nổi tiếng đó chính là mạng
0:00:49 - 0:00:55, CNN thì sau đây là những cái nội dung và
0:00:52 - 0:00:58, chúng ta sẽ cùng tìm hiểu đầu tiên đó là
0:00:55 - 0:01:01, chúng ta sẽ tìm hiểu về bài toán phân
0:00:58 - 0:01:04, loại ảnh với mạng Network đây sẽ là cái
0:01:01 - 0:01:09, tiền đề để dẫn dắt
0:01:04 - 0:01:12, ờ cho cái mạng CNN về sau đầu tiên đó là
0:01:09 - 0:01:14, chúng ta sẽ cùng hiểu khái niệm hình ẵn
0:01:12 - 0:01:19, thì nếu như dữ liệu dạng bản của chúng
0:01:14 - 0:01:21, ta à biểu diễn dướ dạng là các cái cột
0:01:19 - 0:01:21, và các cái
0:01:25 - 0:01:31, dòng thì các cái cột này nó sẽ phải là
0:01:29 - 0:01:34, số lượng cố định và kiểu dữ liệu cũng
0:01:31 - 0:01:36, phải là thống nhất thì đối với dữ liệu
0:01:34 - 0:01:39, dạng ảnh thì chúng ta cũng sẽ biểu diễn
0:01:36 - 0:01:41, dưới dạng là một ma trận Tuy nhiên cái
0:01:39 - 0:01:43, bề ngang và bề cao của ảnh nó sẽ có kích
0:01:41 - 0:01:45, thước thay đổi thì trong cái hình ảnh ở
0:01:43 - 0:01:48, đây chúng ta minh họa Nó là một cái ảnh
0:01:45 - 0:01:50, xám tức là ảnh không có màu sắc thì nó
0:01:48 - 0:01:53, biểu diễn Biểu trưng bởi một cái ma trận
0:01:50 - 0:01:56, như bên tay phải và đối với trường hợp
0:01:53 - 0:01:58, ảnh màu thì chúng ta sẽ có ba kên màu là
0:01:56 - 0:02:00, màu Red
0:01:58 - 0:02:03, Green và
